ID,Work Title,Year,Street Address,Address Data,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Name,Location Description,Related Property,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Latitude,Longitude,Modified
1924.001.CHAP.EdBer,Wildflower,1924,5200 block of Springlake Way,Block,Edward Berge,Sculpture,,,,,,,,,,Baltimore,MD,21212,Homeland Garden,Median,,,bronze,,,,,,Male,,,checked,,,,,District 4,Homeland,North Baltimore/Guilford/Homeland,3504,,Condition assessment (1991),"this piece is not in very good condition, differential corrosion is evident all over surface, dents and markings on forehead suggest she may have fallen forward at some point",,39.357902,-76.616356,12/8/2022 2:54pm
1923.001.CHAP.HaSch,Fifth Regiment Armory Tablet,1923,219 29th Division Street,,Hans K. Schuler,"Monument,Relief",in place,State of Maryland,,,,,,,,Baltimore,MD,21217,Fifth Regiment Armory,,,Outdoor,bronze,,,,,120 in. x 22 ft. x 14 in.,Male,,,checked,,,,,District 11,Madison Park,Upton/Druid Heights,8635,,Condition assessment (1991),"differential corrosion, most forward surface areas have oxidized and are chalky white, bird guano",,39.30404535,-76.62192222,12/8/2022 2:54pm
1922.001.CHAP.EdBer,Chapin A. Harris Bust,1922,Wyman Park Drive and W. 31st Street,Intersection,Edward Berge,"Monument,Bust",in place,,,,,,,,,Baltimore,MD,21211,,Median at edge of park,,Outdoor,bronze,,,Chapin A. Harris,,42 x 26 1/2 x 20 1/2 in.,Male,,,checked,,,,node/2044048055,District 14,Johns Hopkins Homewood,Medfield/Hampden/Woodberry/Remington,4749,,Condition assessment (1991),"missing plaque?, metallic staining and organic growth on base",, 39.324848,-76.621113,12/8/2022 2:54pm
1922.002.CHAP.ChNie,Orpheus with the Awkward Foot,1922,2400 E. Fort Avenue,,Charles Henry Niehaus,"Monument,Sculpture",in place,Federal Property,National Park Service,National Park Service,,,,,,Baltimore,MD,21230,Fort McHenry,Middle of entrance road,,Outdoor,bronze,,,Charles Henry Niehaus,,,Male,,,checked,,,,node/4978535780,District 11,Locust Point Industrial Area,,2000,,Condition assessment (1991),"base - black crusts, metallic staining, organic growth, granular erosion of marble, spalling or sloughing",,39.264182590060116,-76.58215081102375,12/8/2022 2:55pm
1921.001.CHAP.EdBer,Servicemen's Memorial,1921,3901 Belair Road,,Edward Berge,Monument,in place,,,,,,,,,Baltimore,MD,21213,Bel Air Rd. and Shannon Dr.,,,Outdoor,bronze,,,,,,Male,,,checked,,,,node/9969034180,District 13,Belair-Edison,Belair-Edison,3902,,Condition assessment (1991),"fairly good condition, bronze project, surface breakdown, on upper serface of the scroll and eagle's spread wings and tail, the base is very dirty",,39.325872,-76.567754,12/8/2022 2:54pm
1920.003.CHAP.unknown,Baltimore City College War Memorial,1920,3220 The Alameda,,,Relief,in place,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",,,,,,Baltimore,MD,21218,Baltimore City College Belltower exterior,,Baltimore City College,Outdoor,bronze,,,,,,,,,,,,,,District 14,Better Waverly,The Waverlies,1069,,,,,39.3257539,-76.6002235,12/8/2022 2:54pm
1920.001.CHAP.Unknown,Flagstaff,1920,347 S. Gilmor Street,,Unknown,Monument,in place,,,Commission for Historical and Architectural Preservation (CHAP),Historic Monuments (CHAP),,,,,Baltimore,MD,21223,,,,,,,,,,,,,,,,,,,District 9,New Southwest/Mount Clare,Southwest Baltimore,5611,,,,,39.283379,-76.642221,12/8/2022 2:54pm
1920.002.CHAP.Unkown,Peace Cross [Victory Cross],1920,4 E. University Parkway,,Unknown,Monument,,Private Property,,,,,,,,Baltimore,MD,21218,Cathedral of the Incarnation,Episcopal Cathedral Grounds Charles st at University Pkwy,,Outdoor,granite,,,,,18 ft. x 28 in. x 18 in,,,,checked,,,,,District 14,Johns Hopkins Homewood,Greater Charles Village/Barclay,4529,,Condition assessment (1991),"cracks on all four corners of the base, water collects in base cracks, etched, pitted or otherwise corroded, surface and bronze palque in need of cleaning, would benefit froom treatment",,39.3324117,-76.619054,12/8/2022 2:54pm
1919.001.CHAP.Unknown,Grove of Remembrance,1919,900 Druid Park Lake Drive,,Unknown,"Monument,Landscape",in place,Mayor & City Council,Baltimore City Department of Recreation & Parks,,,,,,,Baltimore,MD,21217,Druid Hill Park,,Druid Hill Park,Outdoor,plantings,grove of living trees,,,,,,,,,,,,way/1088049178,District 7,Druid Hill Park,Penn North/Reservoir Hill,6865,,,,,39.323537,-76.651876,12/8/2022 2:54pm
1918.001.CHAP.JMMil,Confederate Women's Monument,1918,W. University Parkway and N. Charles Street,Intersection,Joseph Maxwell Miller,"Monument,Sculpture","removed,in storage",,,Commission for Historical and Architectural Preservation (CHAP),Historic Monuments (CHAP),,,,,Baltimore,MD,21218,,,,Outdoor,bronze,,,,,115 x 114 x 98 in.,Male,,,checked,,,,,District 14,Johns Hopkins Homewood,Greater Charles Village/Barclay,2457,,Condition assessment (1991),"base missing mortar and organic growth (algae), wax coating beginning to break down, foundation in serious need of repair with large cracks and gun shot holes",,39.333225,-76.6192282,12/8/2022 2:54pm
