ID,Work Title,Year,Street Address,Address Data,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Name,Location Description,Related Property,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Latitude,Longitude,Modified
,Sundala mural,2013,1664 Normal Avenue,,"Jessie Unterhalter,Katey Truhn",Mural,in place,,,,,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,"Female, Female",,,,,,,,District 14,Darley Park,Clifton-Berea,,,,,,39.31572950877779,-76.59394150920902,12/8/2022 2:54pm
,[Articulate: Baltimore mural],2012,407 N. Howard Street,Intersection,"Chris Stain,Billy Mode",Mural,painted over,,,,Articulate: Baltimore,,,,,Baltimore,MD,21201,,,,Outdoor,mural,,,,,,"Male, Male",,,,,,,,District 11,Downtown,Downtown/Seton Hill,8514,,,,,39.294207,-76.619128,12/8/2022 2:54pm
,[Articulate: Baltimore mural],2012,Howard Street and N. Franklin Street,Intersection,HKS 181,Mural,demolished,,,,Articulate: Baltimore,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,,,,,,,,,District 11,Downtown,Downtown/Seton Hill,8802,,,,,39.294802,-76.619648,12/8/2022 2:54pm
,[Articulate: Baltimore mural],2012,406 Park Avenue,,INDIGO,Mural,in place – unconfirmed,,,,Articulate: Baltimore,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,,,,,,,,,District 11,Downtown,Downtown/Seton Hill,6033,,,,,39.294352,-76.618455,12/8/2022 2:54pm
,[Articulate: Baltimore mural],2012,416 N. Howard Street,,"Katey Truhn,Jessie Unterhalter",Mural,in place,,,,Articulate: Baltimore,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,"Female, Female",,,,,,,,District 11,Downtown,Downtown/Seton Hill,5293,,,,,39.294561,-76.620004,1/4/2023 11:29pm
,[Articulate: Baltimore mural],2012,610 N. Howard Street,,Never2501,Mural,in place,,,,Articulate: Baltimore,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,,,,,,,,,District 11,Mount Vernon,Downtown/Seton Hill,5304,,,,,39.297113,-76.620260,12/8/2022 2:54pm
,[Articulate: Baltimore mural],2012,211 W. Mulberry Street,,Pixel Pancho,Mural,demolished,,,,Articulate: Baltimore,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Male,,,,,,,,District 11,Downtown,Downtown/Seton Hill,9285,,,,,39.293819,-76.618711,12/8/2022 2:54pm
,[Articulate: Baltimore mural],2012,414-416 N. Howard Street,,"J. Digital,Stefan Ways",Mural,painted over,,,,Articulate: Baltimore,,,,,Baltimore,MD,21201,,,,Outdoor,mural,,,,,,Male,,,,,,,,District 11,Downtown,Downtown/Seton Hill,7734,,,,,39.2895989,-76.6191317,12/8/2022 2:54pm
,[Open Walls Baltimore mural],2012,1703 Latrobe Street,,Chris Stain,Mural,in place,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Male,,,,,,,,District 12,Greenmount West,Midtown,7974,,,,,39.309338,-76.611399,12/8/2022 2:54pm
,[Open Walls Baltimore mural],2012,1539 N. Calvert Street,,Doodles,Mural,painted over,,,,Open Walls Baltimore 1,,,4/11/2012,,Baltimore,MD,,,,,Outdoor,mural,,,,,,,,,,,,,,District 12,Greenmount West,Midtown,5615,,,,,39.307638,-76.613294,12/8/2022 2:54pm
,[Open Walls Baltimore mural],2012,10 E. North Avenue,,Ever,Mural,painted over,,,,Open Walls Baltimore 1,,,,Station North Arts & Entertainment District,Baltimore,MD,,,,,Outdoor,mural,,,,,,,,,,,,,,District 12,Charles North,Greater Charles Village/Barclay,8780,,,,,39.3117087,-76.6155478,12/8/2022 2:54pm
,[Open Walls Baltimore mural],2012,1 W. North Avenue,,Gaia,Mural,painted over,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Male,,,,,,,,District 12,Charles North,Midtown,6114,,,,,39.310836,-76.616664,12/8/2022 2:54pm
,[Open Walls Baltimore mural],2012,Saint Paul Street and E. North Avenue,Intersection,Gary Kachadourian,Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Male,,,,,,,,,,,6321,,,,,,,12/2/2022 2:18am
,[Open Walls Baltimore mural],2012,1915 Maryland Avenue,,Intersni Kazki,Mural,in place,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,,,,,,,,node/3143212731,District 12,Charles North,Greater Charles Village/Barclay,2826,,,,,39.311634,-76.617814,12/28/2022 10:43am
,[Open Walls Baltimore mural],2012, 406 E. Oliver Street,,Jaz,Mural,in place,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,21202,,,,Outdoor,mural,,,,,,,,,,,,,,District 12,Greenmount West,Midtown,8790,,,,, 39.307035,-76.610470,12/8/2022 2:54pm
,[Open Walls Baltimore mural],2012, 1803 Barclay Street,,Jetsonorama,Mural,painted over,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,Mr. Tony,,,,,,,,,,,District 12,Greenmount West,Midtown,8960,,,,,39.310432,-76.610667,12/28/2022 1:11am
,[Open Walls Baltimore mural],2012, 1913 Guilford Avenue,,Josh Van Horn,Mural,in place,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,21218,,,,Outdoor,mural,,,,,,Male,,,,,,,,District 12,Barclay,Greater Charles Village/Barclay,5650,,,,,39.311768,-76.611619,12/8/2022 2:54pm
,[Open Walls Baltimore mural],2012,1702 Latrobe Street,,Mata Ruda,Mural,in place,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,,,,,,,,,District 12,Greenmount West,Midtown,5682,,,,,39.309338,-76.611680,12/8/2022 2:54pm
,[Open Walls Baltimore mural],2012,1714 N. Charles Street,,Maya Hayuk,Mural,in place,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Female,,,,,,,,District 12,Charles North,Midtown,2587,,,,,39.309196,-76.616691,12/8/2022 2:54pm
,[Open Walls Baltimore mural],2012,440 E. Oliver Street,,Momo,Mural,in place,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,,,,,,,,,District 12,Greenmount West,Midtown,5355,,,,,39.307065,-76.609415,12/8/2022 2:54pm
,[Open Walls Baltimore mural],2012, 331 E. Lanvale Street,,Nanook,Mural,in place,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,mural,,IMG_2270.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/ldnwugx37tvBdp6QLiPiJQ/JU0KNoIIzhH1z0sm4T1zQ-zFonbjxiH8Kk6ovqDPNdCGBkCwQG1DQromS5bfrKtgfWEe3vlfnoP9msi2tm5thsG6RfJ_OWNfv7JK9TaWYos/RrQUnL_DYKGIyP7DRlKKxCJsPbb9HWMeLRnl2noNVoA),,,,Male,,,,,,,,District 12,Greenmount West,Midtown,1042,,,,, 39.308800,-76.610893,12/8/2022 2:54pm
,[Open Walls Baltimore mural],2012,329 E. Lafayette Street,,Overunder,Mural,in place,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,mural,,"IMG_2277.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/jiX3-X70DNlYMbtMPRuRjA/QKMFs4XP9oF70q1YBSB9RmXb2iHj3lZ2SENR2EIzyMO9EY5dwM3wnM7sKgCc3IgM7lf6fMPXzD14GzgtiBXX7I0L82dH4XLOj95NrBs8VUg/TFsEn6yxQASjFSfJICeILblfN_-DBK6YRvXFhQ1DLFI),IMG_2280.JPG (https://v5.airtableusercontent.com/v1/14/14/1674064800000/dl7mrjRJPBuNME1TPehIKw/AfBs7g83a6R0ijK1--zHcgjdOkEqGbNgynbEq9oYNnjBuR57bdxKkYtx3MXHC7AnFwv0qJrmQcFQzL94FEMUspFWmHrWKGoPR05bLJf_D2Q/Js7BQALOMHM8RDY0kKJM833ta9DwNq8TDA8X1I3A1-4)",,,,Male,,,,,,,,District 12,Greenmount West,Midtown,6354,,,,,39.309857,-76.610961,12/8/2022 2:54pm
,[Open Walls Baltimore mural],2012,133 W. North Avenue,,Specter,Mural,in place,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,,,,,,,,,District 12,Charles North,Midtown,7875,,,,,39.310674,-76.619054,12/28/2022 10:45am
,[Open Walls Baltimore mural],2012, 1815 Barclay Street,,Sten and Lex,Mural,in place,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,21202,,,,Outdoor,mural,,,,,,,,,,,,,,District 12,Greenmount West,Midtown,4322,,,,, 39.310739,-76.610718,12/8/2022 2:54pm
,[Open Walls Baltimore mural],2012,Pittman Place,Street name,Swoon,Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Female,,,,,,,,,,,1455,,,,,,,12/4/2022 11:59pm
,[Open Walls Baltimore mural],2012,1539 N. Calvert Street,,Vhils,Mural,in place,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Male,,,,,,,,District 12,Greenmount West,Midtown,9804,,,,,39.307638,-76.613294,12/8/2022 2:54pm
,"[Open Walls Baltimore mural/""King's and Castles Floating on Acrylic Mountains""]",2012, 1727 N. Charles Street,,Freddy Sam,Mural,in place,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,21201,,,,Outdoor,mural,,,,,,Male,,,,,,,,District 12,Charles North,Midtown,7342,,,,,39.309667,-76.616154,12/8/2022 2:54pm
,[Open Walls Baltimore sculpture installation],2012,1816 N. Charles Street,,John Ahearn,Sculpture,removed – unconfirmed,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,Station North Arts Cafe,,,Outdoor,body cast,,,"Kevin Brown,Bill Maughlin",,,Male,,,,,,,,,,,1926,,,,,39.31041829404059, -76.61670463741974,12/28/2022 10:47am
,Brooks Robinson Statue,2012,333 W. Camden Street,,Antonio Tobias Mendez,Sculpture,in place,Maryland Stadium Authority,,,Orioles Legends Celebration Series,,,9/29/2012,,Baltimore,MD,21201,Oriole Park at Camden Yards,Orioles Legends Park,Oriole Park at Camden Yards,Outdoor,bronze,,,Brooks Robinson,,,Male,,,,,,,node/5478150223,District 11,Stadium Area,Inner Harbor/Federal Hill,1022,,,,, 39.284853, -76.621234,12/8/2022 2:54pm
,"Cal Ripken, Jr. Statue",2012,333 W. Camden Street,,Antonio Tobias Mendez,Sculpture,in place,Maryland Stadium Authority,,,Orioles Legends Celebration Series,,,9/6/2012,,Baltimore,MD,21201,Oriole Park at Camden Yards,Orioles Legends Park,Oriole Park at Camden Yards,Outdoor,bronze,,,"""Cal Ripken, Jr.""",,,Male,,,,,,,node/5478143430,District 11,Stadium Area,Inner Harbor/Federal Hill,3444,,,,, 39.284913,-76.621416,12/8/2022 2:54pm
,Discover Bayview,2012,Elrino Street and Eastern Avenue,,Kirk Seese,Mural,in place,,,,,,,,,Baltimore,MD,,,,,Outdoor,mural,,,,,,Male,,,,Baltimore Mural Program (BOPA),,,,District 1,Bayview,Orangeville/East Highlandtown,,,,,,39.287672629420655,-76.54301061850029,12/8/2022 2:54pm
,Earl Weaver Statue,2012,333 W. Camden Street,,Antonio Tobias Mendez,Sculpture,in place,Maryland Stadium Authority,,,Orioles Legends Celebration Series,,,6/30/2012,,Baltimore,MD,21201,Oriole Park at Camden Yards,Orioles Legends Park,Oriole Park at Camden Yards,Outdoor,bronze,,,Earl Weaver,,,Male,,,,,,,node/5478146023,District 11,Stadium Area,Inner Harbor/Federal Hill,1583,,,,, 39.284787,-76.621290,12/8/2022 2:54pm
,Eddie Murray Statue,2012,333 W. Camden Street,,Antonio Tobias Mendez,Sculpture,in place,Maryland Stadium Authority,,,Orioles Legends Celebration Series,,,8/11/2012,,Baltimore,MD,21201,Oriole Park at Camden Yards,Orioles Legends Park,Oriole Park at Camden Yards,Outdoor,bronze,,,Eddie Murray,,,Male,,,,,,,node/5478145908,District 11,Stadium Area,Inner Harbor/Federal Hill,2563,,,,,39.284917,-76.621284,12/8/2022 2:54pm
,Flora,2012,12 S. Charles Street,,Wendy Ross,"Fountain,Sculpture",in place,,,Downtown Partnership of Baltimore,,,,,,Baltimore,MD,21201,Hopkins Plaza,,Hopkins Plaza,Outdoor,aluminum,,,,,"40’ x 40’ x 18’, nine unit",Female,,,,,,,node/5757018699,District 11,Downtown,Downtown/Seton Hill,5523,,,,,39.28864,-76.61665,12/8/2022 2:54pm
,Frank Robinson Statue,2012,333 W. Camden Street,,Antonio Tobias Mendez,Sculpture,in place,Maryland Stadium Authority,,,Orioles Legends Celebration Series,,,4/28/2012,,Baltimore,MD,21201,Oriole Park at Camden Yards,Orioles Legends Park,Oriole Park at Camden Yards,Outdoor,bronze,,,Frank Robinson,,,Male,,,,,,,node/5478149144,District 11,Stadium Area,Inner Harbor/Federal Hill,1170,,,,, 39.284840,-76.621341,12/8/2022 2:54pm
,Homophone,2012,701 E. Pratt Street,,David Hess,Sculpture,in place,Private Property,,,,,,,,Baltimore,MD,,Pierce's Park,Pierce's Park,Pierce's Park,Outdoor,stainless steel,,,,,35' x 10' x 10',Male,,,,,,,node/10290586486,,,,,,,,,39.2853056,-76.6057849,12/27/2022 11:28pm
,Jim Palmer Statue,2012,333 W. Camden Street,,Antonio Tobias Mendez,Sculpture,in place,Maryland Stadium Authority,,,Orioles Legends Celebration Series,,,7/14/2012,,Baltimore,MD,21201,Oriole Park at Camden Yards,Orioles Legends Park,Oriole Park at Camden Yards,Outdoor,bronze,,,Jim Palmer,,,Male,,,,,,,node/5478141668,District 11,Stadium Area,Inner Harbor/Federal Hill,2525,,,,, 39.284785,-76.621453,12/8/2022 2:54pm
,Open Walls Baltimore [Wonderground],2012, 401 E. Lanvale Street,Intersection,Gary Kachadourian,Mural,,,,,Open Walls Baltimore 1,,,,,Baltimore,MD,,,,,Outdoor,painted mural,,,,,,Male,,,,,,,,District 12,Greenmount West,Midtown,6919,,,,,39.308786,-76.6106258,12/8/2022 2:54pm
,Walk the Line [ground mural],2012,105 E. Lafayette Avenue,,"Katey Truhn,Jessie Unterhalter",Mural,in place,,,,"Open Walls Baltimore 1,Open Walls Baltimore 2",,,,,Baltimore,MD,,,,,Outdoor,"painted mural,ground mural",,,,,,"Female, Female",,,,,,,,District 12,Charles North,Midtown,9456,,,,,39.309677,-76.614592,12/8/2022 2:54pm
2011.007.BMP.NaKos,[Barclay E/MS entrance mosaic],2011,2900 Barclay Street,,Tamara Payne,Mural,in place,Mayor & City Council,Baltimore City Public Schools,"City of Baltimore - BOPA,Baltimore City Public Schools",Baltimore Mural Program (BOPA),Natalie Kossack,,,,Baltimore,MD,21218,Barclay Elementary/Middle School,,Barclay Elementary/Middle School,Outdoor,mural,,,,,,Female,,,,,,,,District 12,Abell,Greater Charles Village/Barclay,4882,,,,,39.323716,-76.611289,12/8/2022 2:54pm
2011.005.BMP.ChLaw,[Hampden],2011,3424 Elm Avenue,,Charles Lawrence,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21211,,,,Outdoor,mural,,2011.005.BMP.ChLaw.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/MWHBR1kkyBllDSlnP8jUjA/iG_vLwdxYEKtrjyBE4kVzmuz3YGSCfiH42bOxB4PodIOGHA8J5ZRi6_i7QOm2ioT/eXDaQJkhzFnhdKVYOL8aS0IAezUnIQUNZ5lWP4Qy41s),,,,Male,,,,,,,,District 14,Hampden,Medfield/Hampden/Woodberry/Remington,5012,,,,,39.329333, -76.631340,12/8/2022 2:54pm
2011.009.BMP.MiSan,[Historic Druid Heights mural],2011,1940 Druid Hill Avenue,,Michelle Santos,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21217,,,,Outdoor,mural,,2011.009.BMP.MiSan.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/Nu3tJD-ZounXclfpdRZZkw/ZNzieS5SuniUzawLah-s00c9NTNM-Ox0I_jpeUQ9LRdVGIPT1JH3YVI6QQ2XSz9w/W6HH7TgaCNDf8v-9tcSDTM3S6dtfGlGqPSEWU8WIap4),,,,Female,,,,,,,,District 11,Druid Heights,Upton/Druid Heights,5489,,,,,39.307259,-76.635382,12/8/2022 2:54pm
,9/11 Memorial of Maryland,2011,401 E. Pratt Street,,,Monument,in place,,,,,,Ziger/Snead,9/11/2011,,Baltimore,MD,21202,World Trade Center Baltimore,,,Outdoor,"found object,marble",,,,,,,,,,,,,node/1957123147,District 11,Inner Harbor,Inner Harbor/Federal Hill,1006,,,,,39.2862554,-76.609677,12/8/2022 2:54pm
2011.010.XXX.JoShe,Brooks Robinson,2011,422 Eislen Street,Intersection,Joseph Sheppard,Sculpture,in place,,,,Orioles Legends Celebration Series,,,10/22/2011,,Baltimore,MD,21201,Brooks Robinson Plaza  on Russell Street between the Stadium and Pickles Pub,Median Plaza directly in front of Pickles Pub,,Outdoor,bronze,Bronze (with gold leaf over glove) of Brooks Robinson on 3rd Base,,Brooks Robinson,Excellent condition,H. 9 ft.,Male,,,,,,,node/3772711068,District 11,Stadium Area,Inner Harbor/Federal Hill,7620,,Condition assessment (2012),Excellent Condition (5/2/2012),,39.285166,-76.622950,12/8/2022 2:54pm
2011.003.BMP.GrGan,Charles Village Mural,2011,2439 Charles Street,,Greg Gannon,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21218,,,,Outdoor,mural,,2011.003.BMP.GrGan.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/45LFNjhC9x5Pgt4gxvLGGw/AVzlw8uCMHsYr_2e7G_iovhsWFoqCBdARehPG5E1SZrmnJOWXWlXId-vQtRjH2v7/eQ_pJP85u0KBFgzAfwo0TzpBWEDxQg6qmhG85FMzAQE),,,,Male,,,,,,,,District 12,Old Goucher,Greater Charles Village/Barclay,9460,,,,,39.317416,-76.616764,12/8/2022 2:54pm
2011.006.BMP.SuMil,Community Unity,2011,416 S. Monroe Street,,Sunny Miller,Mural,demolished,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21223,,,,Outdoor,mural,,2011.006.BMP.SuMil.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/V8b5Xd93NIZmBEN105TrWw/SA58CmdhPGM5KkPnqZy_zsOoysGp1trzyw_v_3-TVXFisyAUL1TZzHnvcpopdSWl/_H29f5gZvoOv4MKtgZm8ZmDpuNOXWBIsVjcayHyz4aM),,,,,,,,,,,,District 9,Carrollton Ridge,Southwest Baltimore,3324,,,,,39.2818721,-76.6452892,12/8/2022 2:54pm
2011.001.BMP.JoBer,Love in Search of a Word,2011,436 E. Lafayette Avenue,,Joel Bergner,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21202,,,,Outdoor,mural,,"2011.001.BMP.JoBer(2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/TtgmdXcKa5hd0lgQA8uhGQ/A6sNRRs1A30TcLrq2MON0TSbIpCMvrglxMiqMXnGRQs1MkNON147Tpn2isaNpQwc/pAhWRKEiCmzIkcE_3aSkpSkW-uRp-PyRMEQqsmD6NtU),2011.001.BMP.JoBer.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/CqohHs9NHSJnYFFwpkT-_w/XNdYc9F5J4MPlfWhoScB9Tb6YuCPSzmw1WPtwUNcjmXXt_AvlLzY_iNtxWGX_4D8/gexjsXGQ9J0ngzq9Vw9lmJSG_P87lejwtbNehf-5Jl0)",,,,Male,,,,,,,,District 12,Greenmount West,Midtown,3410,,,,,39.310219,-76.609582,12/8/2022 2:54pm
,Red Sails,2011,,Missing,John Henry,Sculpture,in place,Private Property,,Johns Hopkins University,Johns Hopkins University Public Art Program,,,1/1/2011,,Baltimore,MD,,Johns Hopkins University Homewood Campus,,"""Johns Hopkins University, Homewood Campus""",Outdoor,painted steel,,,,Completed in Jan. 2011; Gift from 1951 graduate Ralph O'Connor,,Male,,,,,,,node/8325111701,District 14,Johns Hopkins Homewood,Greater Charles Village/Barclay,,,,,,39.3310246,-76.6215302,12/8/2022 2:54pm
,The Yellow Boat,2011,W. Pratt Street between S. Hanover Street and S. Sharp Street,,Christian Parks,Sculpture,in place,,,,,,,,,Baltimore,MD,,,,,Outdoor,cypress wood,,,,,,Male,,,,,,,,District 11,Downtown West,Downtown/Seton Hill,,,,,, 39.286544,-76.616716,12/8/2022 2:54pm
2011.011.BMP.DoTys,Unknown,2011,1503 Durham Street,,"""Donald Tyson-Bey, Jr.""",Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21213,,,,Outdoor,mural,,2011.011.BMP.DoTys.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/aOZFRCBrD4bHtR8kP8tD3A/it1FwOpWvbdcMnUTAzB-doCKRUbNY-YaPLNvrwAjCoPsYJ9-1W8QTls2C-KB64sb/LHj3ewkABLWwciLuhEDnIazJZYkF_5rmrenfqWaPmwo),,,,Male,,,,,,,,District 12,Broadway East,Greenmount East,8644,,,,,39.307909,-76.592000,1/18/2023 10:47am
2011.012.BMP.JeUnt,Unknown,2011,1137 Harford Avenue,,"Jessie Unterhalter,Katey Truhn",Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21202,,,,Outdoor,mural,,"2011.012.BMP.JeUnt(2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/Kzf6h7fCPPOvDnF9Sf75fQ/7lT7_Q-_8RVEqQjm2OL1Gvr-ZMOLcqQPJKSw1XH30TGt9mkbkWORgRltBwntArMB/XNqMZ27rc4rpr8D0JsJlHhdsDNoNvcj7mOQfLtu0-24),2011.012.BMP.JeUnt.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/7xMjx8Ld7q-SKISiGcp1oA/-EUvqLKcGP1lgw75sFcGGFFO_laMD2ZfoeavF7CkxGbl04wKZcIpzVRQXcbA3PRO/8sq23yBOt0l0WfO-nWY_h04cTRI9-Alk1dHtvLdh8tw)",,,,"Female, Female",,,,,,,,District 12,Oliver,Greenmount East,1919,,,,,39.304172,-76.601545,1/18/2023 10:47am
2011.004.BMP.LyKis,Unknown,2011,2009 Annapolis Road,,Lyle Kissack,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21230,,,,Outdoor,mural,,2011.004.BMP.LyKis.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/9nh9reG9XpzteWUl1SP9sA/gzJ5KhsYYuNGhFCWUp1637KgvuATPesq34SVRfZBhrANAFrgYZ4AZlim4X2lqdBO/heRym2nGyL07KPLQkQOawB1FlIKtzqT99GwgeRRTYTU),,,,Male,,,,,,,,District 10,Westport,Westport/Mount Winans/Lakeland,9312,,,,,39.26682150653619,-76.6316412737471,1/18/2023 10:47am
2011.002.BMP.PaBer,Unknown,2011,3120 Erdman Avenue,,Paul Bertholet,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21213,,,,Outdoor,mural,,"2011.002.BMP.PaBer(2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/WC7tLnt3u0EYYeY-nNLT3Q/f-iL0aCqjLGcrP1KM_80tGJs8A6tGkZCPf-vkriUPrnGyPIOQtcg72T08y0tYN1e/ujcyqsx-NDaQvD0UQA7L7-y3pGkxsbqDHGN91N0tlUs),2011.002.BMP.PaBer.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/lcH5T7hry-eIl3FqmBKWVA/PLyKo422jJ0P1hq0jIlFkjCVeR_KbTF7HbXDSct0qBEvGPzWVGtNMorIFjgc4bpg/rrjAUiNBBMrU85tkOBGAJGcGuO9oDytqdrGxkKS-e6Y)",,,,Male,,,,,,,,District 13,Belair-Edison,Belair-Edison,2371,,,,,39.321306,-76.572691,1/18/2023 10:47am
2011.008.BMP.ChPet,Untitled,2011,2300 Washington Boulevard,,Chris Peters,Mural,in place,,,,Baltimore Mural Program (BOPA),Mike Batistellar,,,,Baltimore,MD,21230,,,,Outdoor,mural,,,,,,Male,,,,,,,,District 10,Morrell Park,Morrell Park/Violetville,8672,,,,,39.26934860143854, -76.64942087026634,12/8/2022 2:54pm
2010.005.BMP.JoMar,[Harlem Park Recreation Center mural],2010,700 N. Calhoun Street,,John Marra,Mural,in place,Mayor & City Council,Baltimore City Department of Recreation & Parks,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21217,Harlem Park Recreation Center,,Harlem Park Recreation Center,Indoor,mural,,2010.005.BMP.JoMar.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/Q6fnjUuOUokFuORFBiZZdA/zDE22jkcWQzU8Q2sCEgABt53Awx-QJU8cnIndEiJJmx9iqL4dlPvfb_g8iyHb3_n/uSaEprz6tnVaGmTzy4Dy19STX7YiAj3NXTQXReH_gD4),,,,Male,,,,,,,,District 9,Harlem Park,Sandtown-Winchester/Harlem Park,1169,,,,,39.297283,-76.640284,12/8/2022 2:54pm
2010.004.BMP.LyKis,[Tree and neighbors mural],2010,401 Whitridge Avenue,,Lyle Kissack,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21218,,,,Outdoor,mural,,"2010.004.BMP.LyKis(2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/vvVIQmu804pQVFCBa3H6Fw/ZES_KZwbMKeLJCjMJJwHQwLt2jJZin-BuaZgWo2qLGIif0Tv1w1NoQiq7s7Jubk3/TWX2JlH26SFUK2PyHX7v2pNUOuTPVCNZYUf1zdSBc2Q),2010.004.BMP.LyKis.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/3sbijKQwfmKsGUsKcN45aQ/hUucFhRb8rAS7VVuWx6WvqUUNb2gIKcLOwUBjwtV6efgoWopzA-Wr6zCnJFD_tPo/4xTSA9lw_VkhAet7sF7mrInTIrJKKi03RU6lhdTj7_0)",,,,Male,,,,,,,,District 12,Harwood,Greater Charles Village/Barclay,1996,,,,,39.321469,-76.611010,12/8/2022 2:54pm
2010.001.BMP.MaAda,Four Seasons,2010,210 E. 22nd Street,,Marshall Adams,Mural,in place,,,,Baltimore Mural Program (BOPA),"Casey Berry,Adam Laye,Christopher Kindig",,,,Baltimore,MD,21218,,,,Outdoor,mural,,2010.001.BMP.MaAda.jpg (https://v5.airtableusercontent.com/v1/14/14/1674064800000/fPhzCmoh_GytPQ8u88R1fg/9pQtPaGdIVXLjiry6C8a6QEVU1CjDATawhCxeu5glNjLXGOiB9TSIEuV0RucPokj/R9uryFh20VDVrwwPGx_v8lBGyuqH91eQGJWj7P_VTXo),,,,Male,,,,,,,,District 12,Barclay,Greater Charles Village/Barclay,2310,,,,,39.314516,-76.613178,12/8/2022 2:54pm
