id,osm_id,title,location,type,medium,status,year,creation_dedication_date,primary_artist,primary_artist_gender,street_address,city,state,zipcode,dimensions,program,funding,artist_assistants,architect,fabricator,neighborhood,csa,csa_2020,council_district,legislative_district,location_desc,indoor_outdoor_access,subject_person,related_property,property_ownership,agency_or_insitution,wikipedia_url,work_type,lon,lat
1987.006.XXX.LlLil,node/7834035255,"Mayor Thomas D'Alesandro, Jr.",CSX Promenade,"Monument, Sculpture",bronze,in place,1987,NA,Lloyd Lillie,Male,1 N. Charles Street,Baltimore,MD,21201,78 x 32 x 21 in,NA,NA,NA,NA,NA,Downtown,Downtown/Seton Hill,Downtown/Seton Hill,District 11,District 40,CSX Promenade,Outdoor,"""Thomas D'Alesandro, Jr.""",NA,NA,NA,NA,Monument,-76.61588000000002,39.29107299999999
1975.007.XXX.MaMea,NA,Brio,Fort Worthington Recreation Center,Sculpture,painted metal,removed – unconfirmed,1975,NA,Mary Ann Mears,Female,2701 E. Oliver Street,Baltimore,MD,21213,10 ft. 2 in. x 9 ft. 6 in. x 7 ft. 6 in.,NA,NA,NA,NA,NA,Berea,Clifton-Berea,Clifton-Berea,District 13,District 45,Exterior,Outdoor,NA,Fort Worthington Recreation Center,Mayor & City Council,Baltimore City Department of Recreation & Parks,NA,Sculpture,-76.57855234852751,39.30795402545007
1947.002.CHAP.WJDal,NA,Saint Lo Drive Memorial,St. Lo Drive and Sinclair Lane,Monument,NA,NA,1947,NA,W.J. Dale and Son,NA,St. Lo Drive and Sinclair Boulevard,Baltimore,MD,21213,NA,NA,NA,NA,NA,NA,Darley Park,Clifton-Berea,Clifton-Berea,District 14,District 45,NA,Outdoor,NA,NA,NA,NA,NA,Monument,-76.590686,39.31438199999999
1948.001.CHAP.GeMar,node/8761464286,Prometheus Bound II,The Wurtzburger Sculpture Garden,Sculpture,bronze,NA,1948,NA,Gerhard Marcks,Male,10 Art Museum Drive,Baltimore,MD,21218,31 x 20 x 18-1/4 in. (78.8 x 50.8 x 46.4 cm.),NA,NA,NA,NA,NA,Johns Hopkins Homewood,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 14,District 40,NA,Outdoor,NA,Baltimore Museum of Art,Mayor & City Council,NA,NA,Sculpture,-76.61882,39.32632
2005.010.XXX.SeOno,NA,Joy,McKeldin Square in Inner Harbor,Sculpture,stainless steel,in place – unconfirmed,2005,NA,Setsuko Ono,Female,Light & Pratt Streets,Baltimore,MD,21201,NA,NA,NA,NA,NA,NA,Inner Harbor,Inner Harbor/Federal Hill,Inner Harbor/Federal Hill,District 11,District 46,Inside Fountain,Outdoor,NA,NA,NA,NA,NA,Sculpture,-76.61316199999999,39.28597599999999
1968.002.XXX.ECBou,NA,The What Knot - 'Linear Growth Structure',Easterwood Park Recreation Center,Sculpture,painted steel,NA,1968,NA,E. Clifton Boudman,Male,1530 N. Bentalou Street,Baltimore,MD,21216,11 ft. 2 in. x 4 ft. 8 in. x 4 ft. 8 in.,NA,NA,NA,NA,NA,Coppin Heights/Ash-Co-East,Greater Rosemont,Greater Rosemont,District 7,District 40,Front lawn,NA,NA,Easterwood Park Recreation Center,Mayor & City Council,Baltimore City Department of Recreation & Parks,NA,Sculpture,-76.65417,39.306084999999996
1957.001.CHAP.AuRod,node/8761464287,Nude Honoré de Balzac with Folded Arms,The Wurtzburger Sculpture Garden,Sculpture,bronze,in place,1957,NA,Auguste Rodin,Male,10 Art Museum Drive,Baltimore,MD,21218,50 1/2 in. (128.3 cm.),NA,NA,NA,NA,NA,Johns Hopkins Homewood,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 14,District 40,NA,Outdoor,Honoré de Balzac,Baltimore Museum of Art,Mayor & City Council,NA,NA,Sculpture,-76.62010649999999,39.32590879999999
1991.001.XXX.LiDeP,node/7834076635,Double Gamut,15 W. Franklin St. Garage,Monument,"bronze, aluminum",in place,1991,NA,Linda DePalma,Female,15 W. Franklin Street,Baltimore,MD,21201,11 ft. x 14 ft. x 3 ft. 6 in.,NA,Percent for Public Art (BOPA),Paul Daniel,Ayers Saint Gross,NA,Downtown,Downtown/Seton Hill,Downtown/Seton Hill,District 11,District 46,Above garage entrance,Outdoor,NA,NA,NA,NA,NA,Monument,-76.615944,39.29499299999999
547,node/8761464275,"May, 1940:The Destroyed City",The Wurtzburger Sculpture Garden,Sculpture,bronze,in place,1957,NA,Ossip Zadkine,NA,10 Art Museum Drive,Baltimore,MD,21218,NA,NA,NA,NA,NA,NA,Johns Hopkins Homewood,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 14,District 40,NA,Outdoor,NA,Baltimore Museum of Art,Mayor & City Council,NA,NA,Sculpture,-76.6193839,39.326546699999994
1969.009.PfA.HaHil,NA,Form in Space,Woodholme ES,Sculpture,fiberglass,NA,1969,NA,Harry Hilson,Male,7300 Moyer Avenue,Baltimore,MD,21214,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,North Harford Road,Harford/Echodale,Hamilton Hills,District 3,District 45,Courtyard ,NA,NA,Woodholme ES,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.541138,39.36683
1928.001.CHAP.Unknown,NA,Mother's Garden,Clifton Park,"Monument, Landscape",NA,in place,1928,NA,Unknown,NA,3205 Harford Road,Baltimore,MD,21213,NA,NA,NA,NA,NA,NA,Clifton Park,Belair-Edison,Belair-Edison,District 14,District 45,NA,Outdoor,NA,Clifton Park,Mayor & City Council,Baltimore City Department of Recreation & Parks,NA,Monument,-76.58402699999999,39.32729899999999
1983.006.XXX.JaSan,way/996947316,Cold Spring Outcrop,West Cold Spring Station (Metro),Sculpture,limestone,in place,1983,NA,Jim Sanborn,Male,W. Cold Spring Boulevard at Wabash Avenue,Baltimore,MD,21215,7 ft. 8 in. x 17 ft. 6 in. x 19 in.,Metro Station Artwork,NA,NA,NA,NA,Ashburton,Dorchester/Ashburton,Dorchester/Ashburton,District 6,District 40,Metro stop,Outdoor,NA,NA,State of Maryland,Maryland Transit Administration,NA,Sculpture,-76.67402632098789,39.33656392990829
1969.008.PfA.HaHil,node/9358208327,Winged Victory,Woodholme ES,Sculpture,fiberglass,NA,1969,NA,Harry Hilson,Male,7300 Moyer Avenue,Baltimore,MD,21214,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,North Harford Road,Harford/Echodale,Hamilton Hills,District 3,District 45,Courtyard center,Outdoor,NA,Woodholme ES,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.541138,39.36683
1954.003.CHAP.HeBer,NA,Untitled [Family Group],Cherry Hill ,Sculpture,concrete,NA,1954,NA,Henry Berge,Male,2700 Spelman Road,Baltimore,MD,NA,NA,NA,NA,NA,NA,NA,Cherry Hill,Cherry Hill,Cherry Hill,District 10,District 46,Moved from prior location at Lafayette Courts,Outdoor,NA,NA,Housing Authority of Baltimore City,Housing Authority of Baltimore City,NA,Sculpture,-76.62926,39.24836899999999
560,NA,Hopkins Monument,Clifton Park,"Monument, Sculpture",NA,NA,NA,NA,Unknown,NA,NA,Baltimore,MD,21213,NA,Historic Monuments (CHAP),NA,NA,NA,NA,Clifton Park,Belair-Edison,Belair-Edison,District 14,District 45,NA,Outdoor,NA,Clifton Park,Mayor & City Council,Baltimore City Department of Recreation & Parks,NA,Monument,-76.58701158110509,39.32088998631165
1960.002.CHAP.EdBer,NA,Angel of Truth,First Unitarian Church,Relief,terra cotta,in place,1960,NA,Edward Berge,Male,12 W. Franklin Street at Charles Street,Baltimore,MD,21201,12 x 28 ft.,NA,NA,NA,NA,NA,Mount Vernon,Midtown,Midtown,District 11,District 46,Entrance pediment,NA,NA,NA,Private Property,NA,NA,Relief,-76.61580266700169,39.295232222093134
2010.008.BMP.JoVan,NA,Greenmount West,NA,Mural,mural,in place,2010,NA,Josh Van Horne,Male,330 E. Lafayette Avenue,Baltimore,MD,21202,NA,Baltimore Mural Program (BOPA),NA,NA,NA,NA,Greenmount West,Midtown,Midtown,District 12,District 45,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.611072,39.310145
1992.003.XXX.JuHar,NA,Dhontshihgwa'es (Creator's Game),NA,Monument,bronze,removed,1992,NA,Jud Hartmann,Male,113 W. University Parkway,Baltimore,MD,21218,154 x 98 x 53 in.,NA,NA,NA,NA,NA,Johns Hopkins Homewood,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 14,District 43A,"Previously Exterior near front entrance of Lacrosse Museum; Now located at the US Lacrosse Headquarters: 2 Loveton Circle. Sparks, MD 21152",Outdoor,NA,NA,NA,NA,NA,Monument,-76.62166999999998,39.33474799999999
2014.005.BMP.StPow,NA,FOREVER TOGETHER / I AM HERE BECAUSE ITS HOME,NA,Mural,mural,demolished,2014,NA,Stephen Powers,Male,2400 E. Eager Street,Baltimore,MD,21205,NA,"Baltimore Mural Program (BOPA), Love Letter to Baltimore (BOPA)",NA,NA,NA,NA,Milton-Montford,Madison/East End,Madison/East End,District 13,District 45,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.583578,39.301842
544,way/109485081,Holocaust Memorial,Gay and Water Streets,Memorial,NA,in place,1980,NA,Arthur D. Valk,Male,530 E. Lombard Street,Baltimore,MD,21202,70-ft.,NA,NA,NA,NA,NA,Downtown,Downtown/Seton Hill,Downtown/Seton Hill,District 11,District 46,NA,Outdoor,NA,NA,NA,NA,NA,Memorial,-76.608167,39.288166399999994
1969.020.PfA.PeVan,NA,Untitled,Light St. Library,Brick striation ,brick sculptured wall,NA,1969,NA,Peter van Rossum,Male,1251 Light Street,Baltimore,MD,21230,NA,NA,NA,NA,NA,NA,Federal Hill,Inner Harbor/Federal Hill,Inner Harbor/Federal Hill,District 11,District 46,Exterior,Outdoor,NA,Light Street Library,Mayor & City Council,Enoch Pratt Free Library,NA,Other,-76.613976,39.27490749999998
2010.001.BMP.MaAda,NA,Four Seasons,NA,Mural,mural,in place,2010,NA,Marshall Adams,Male,210 E. 22nd Street,Baltimore,MD,21218,NA,Baltimore Mural Program (BOPA),NA,"Casey Berry, Adam Laye, Christopher Kindig",NA,NA,Barclay,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 12,District 43A,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.613178,39.314516000000005
2011.007.BMP.NaKos,NA,[Barclay E/MS entrance mosaic],Barclay Elementary/Middle School,Mural,mural,in place,2011,NA,Tamara Payne,Female,2900 Barclay Street,Baltimore,MD,21218,NA,Baltimore Mural Program (BOPA),NA,Natalie Kossack,NA,NA,Abell,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 12,District 43A,NA,Outdoor,NA,Barclay Elementary/Middle School,Mayor & City Council,Baltimore City Public Schools,NA,Mural,-76.61128899999999,39.32371599999998
2014.006.BMP.StPow,NA,RIGHT HERE,NA,Mural,mural,in place,2014,NA,Stephen Powers,Male,Westport Light Rail Station,Baltimore,MD,21230,NA,"Baltimore Mural Program (BOPA), Love Letter to Baltimore (BOPA)",NA,NA,NA,NA,Westport,Westport/Mount Winans/Lakeland,Westport/Mount Winans/Lakeland,District 10,District 46,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.63230152432,39.26179163365718
1892.001.CHAP.AcCan(copy),node/4753852913,Columbus Monument,Druid Hill Park,"Monument, Sculpture",marble,in place,1892,NA,Achille Canessa,Male,900 Druid Park Lake Drive,Baltimore,MD,21217,NA,NA,NA,NA,NA,NA,Druid Hill Park,Penn North/Reservoir Hill,Penn North/Reservoir Hill,District 7,District 40,NA,Outdoor,Christopher Columbus,Druid Hill Park,Mayor & City Council,Baltimore City Department of Recreation & Parks,NA,Monument,-76.6418363,39.31912869999999
1953.001.CHAP.MaBil,node/8761464296,Endless Ribbon,The Wurtzburger Sculpture Garden,Sculpture,granite,NA,1953,NA,Max Bill,Male,10 Art Museum Drive,Baltimore,MD,21218,53 (with base) x 44 x 46 in.; base: 7-3/4 x 69 x 15-5/8 in.,NA,NA,NA,NA,NA,Johns Hopkins Homewood,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 14,District 40,NA,Outdoor,NA,Baltimore Museum of Art,Mayor & City Council,NA,NA,Sculpture,-76.61984499999998,39.32429599999999
1983.016.XXX.BeBuf,node/9175409871,Horse,Bufano Sculpture Garden,Sculpture,NA,in place,1960,NA,Beniamino Bufano,Male,3400 N. Charles Street,Baltimore,MD,21218,NA,NA,NA,NA,NA,NA,Johns Hopkins Homewood,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 14,District 43A,NA,Outdoor,NA,"""Johns Hopkins University, Homewood Campus""",Private Property,NA,NA,Sculpture,-76.620915,39.33150499999999
1941.002.CHAP.HaSch,node/2044048564,Sidney Lanier Monument,Johns Hopkins University,"Monument, Sculpture","bronze and unpolished granite, bronze, granite",in place,1941,NA,Hans K. Schuler,Male,N. Charles Street near University Parkway,Baltimore,MD,21218,126 x 168 x 99 in.,Historic Monuments (CHAP),NA,NA,NA,NA,Johns Hopkins Homewood,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 14,District 43A,N. Charles at University Parkway W,Outdoor,Sidney Lanier,"""Johns Hopkins University, Homewood Campus""",Private Property,Johns Hopkins University,NA,Monument,-76.618138,39.33123599999999
1956.003.CHAP.SiWau,node/2451200742,William H. Welch,"Johns Hopkins University, Shriver Hall","Monument, Sculpture",bronze,in place,1956,NA,Sidney Waugh,Male,3400 N. Charles Street,Baltimore,MD,21218,9 ft. x 58 in. x 28 in,NA,NA,NA,NA,NA,Johns Hopkins Homewood,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 14,District 40,NA,Outdoor,NA,"""Johns Hopkins University, Homewood Campus""",Private Property,NA,NA,Monument,-76.62016699,39.326778710000006
1980.009.XXX.TyStr,NA,Mythological Horse,Waverly ES,Brick striation ,brick,NA,1980,NA,Ferebee Streett-Thulman,Female,700 E. 34th Street,Baltimore,MD,21218,H. 6 ft. 8 in. x W. 8 ft. 8 in.,NA,NA,NA,NA,NA,Waverly,The Waverlies,The Waverlies,District 14,District 43A,South wall/ Ellerslie St.,NA,NA,Waverly ES,Mayor & City Council,Baltimore City Public Schools,NA,Other,-76.60629523133429,39.32990081713006
1930.002.CHAP.AdWei,NA,'To the Fine Arts' [BMA Relief],Baltimore Museum Of Art,Relief,limestone,NA,1930,NA,Adolph A. Weinman,Male,10 Art Museum Drive,Baltimore,MD,21218,NA,NA,NA,NA,NA,NA,Johns Hopkins Homewood,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 14,District 40,Relief in front of museum,Outdoor,NA,Baltimore Museum of Art,Mayor & City Council,NA,NA,Relief,-76.6216287,39.325754999999994
1968.004.PfA.PiDuF,NA,Untitled,Cecil ES,Sculpture,stainless steel,NA,1968,NA,Pierre du Fayette,Male,2000 Cecil Avenue,Baltimore,MD,21218,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,East Baltimore Midway,Midway/Coldstream,Midway/Coldstream,District 12,District 45,Interior; entrance wall,Indoor,NA,Cecil ES,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.6058586275693,39.3131802229218
543,NA,Freedom Park,NA,NA,NA,NA,NA,NA,Arthur D. Valk,Male,Lloyd Street and Watson Street,Baltimore,MD,21202,NA,NA,NA,NA,NA,NA,Penn-Fallsway,Oldtown/Middle East,Oldtown/Middle East,District 12,District 46,NA,NA,NA,NA,NA,NA,NA,NA,-76.60749999999994,39.29730000000006
2007.002.BMP.DaHos,NA,Chesapeake Market,Baltimore Farmer's Market (Health Department?),Mural,mural,in place – unconfirmed,2007,NA,Danamarie Hosler,Female,Holliday and Saratoga Streets,Baltimore,MD,21202,NA,Baltimore Mural Program (BOPA),NA,NA,NA,NA,Downtown,Downtown/Seton Hill,Downtown/Seton Hill,District 11,District 46,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.61031346272442,39.29146211325886
1919.002.CHAP.RaDuc,node/8761464269,The Horse,The Wurtzburger Sculpture Garden,Sculpture,bronze,NA,1914,NA,Raymond Duchamp-Villon,Male,10 Art Museum Drive,Baltimore,MD,21218,59 x 59 x 31 in. (149.9 x 149.9 x 78.7 cm.),NA,NA,NA,NA,NA,Johns Hopkins Homewood,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 14,District 40,NA,Outdoor,NA,Baltimore Museum of Art,Mayor & City Council,NA,NA,Sculpture,-76.619676,39.325871599999985
1984.010.PfA.LaHur,NA,Portrait of Frederick Douglass,Frederick Douglass HS,Sculpture,bronze,in place,1984,2/1/1984,Laurence Hurst,Male,2301 Gwynns Falls Parkway,Baltimore,MD,21217,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Mondawmin,Greater Mondawmin,Greater Mondawmin,District 7,District 40,Facade of north elevation,Outdoor,NA,Frederick Douglass HS,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.654365,39.31517899999999
1981.001.XXX.RoBla,NA,Host of the Ellipse,Social Security Metro West,Sculpture,painted corten plate steel,in place – unconfirmed,1981,NA,Ronald Bladen,Male,300 N. Greene Street,Baltimore,MD,21202,35 x 63 x 8 ft.,NA,NA,NA,NA,NA,University Of Maryland,Downtown/Seton Hill,Downtown/Seton Hill,District 11,District 40,Facing Martin Luther King Jr. Blvd.,NA,NA,NA,Private Property,NA,NA,Sculpture,-76.626327,39.29314099999999
1865.001.CHAP.EdDur,node/6849064322,Thomas Wildey Monument,NA,"Monument, Sculpture",marble,in place,1865,NA,Edward F. Durang,Male,201 N. Broadway Avenue,Baltimore,MD,21231,H. 52 ft.,NA,NA,NA,NA,NA,Washington Hill,Harbor East/Little Italy,Harbor East/Little Italy,District 12,District 46,Median,Outdoor,Thomas Wildey,NA,Mayor & City Council,NA,NA,Monument,-76.59395183764609,39.293292176316
2003.005.BMP.LeFur,NA,[Mosaic],NA,Mural,mural,in place,2003,NA,Leslie Furlong,Female,1928 Pennsylvania Avenue,Baltimore,MD,21217,NA,Baltimore Mural Program (BOPA),NA,Julie Stovall,NA,NA,Upton,Upton/Druid Heights,Upton/Druid Heights,District 11,District 40,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.63750100000001,39.305672
2007.018.BMP.BrTod,NA,Fruits and Vegetables,Baltimore Farmer's Market,Mural,mural,in place – unconfirmed,2007,NA,Brooks Todd,Male,Holliday and Saratoga Streets,Baltimore,MD,21202,NA,Baltimore Mural Program (BOPA),NA,NA,NA,NA,Downtown,Downtown/Seton Hill,Downtown/Seton Hill,District 11,District 46,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.61031346272442,39.29146211325886
1939.001.CHAP.GrTur,node/6515689972,Lizette Woodworth Reese Monument,Eastern HS,"Monument, Sculpture",marble,in place,1939,NA,Grace Hill Turnbull,Female,1101 E. 33rd Street,Baltimore,MD,21213,8 ft. 8 in. x 10 ft. 9 in. x 5 ft. 4 in.,Historic Monuments (CHAP),NA,NA,NA,NA,Better Waverly,The Waverlies,The Waverlies,District 14,District 43A,NA,Outdoor,Lizette Woodworth Reese,Eastern HS,Mayor & City Council,NA,NA,Monument,-76.60145300000002,39.328026999999985
2009.002.BMP.ToCla,NA,[Fort Worthington Recreation Center Mural],Fort Worthington Recreation Center,Mural,mural,demolished,2009,NA,Tom Clayton,Male,2710 E. Hoffman Street,Baltimore,MD,21213,NA,Baltimore Mural Program (BOPA),NA,NA,NA,NA,Berea,Clifton-Berea,Clifton-Berea,District 13,District 45,NA,Outdoor,NA,Fort Worthington Recreation Center,Mayor & City Council,Baltimore City Department of Recreation & Parks,NA,Mural,-76.578768,39.30744399999999
1911.002.CHAP.JeMer,way/380020297,Francis Scott Key Monument,Eutaw Place,"Monument, Sculpture",NA,in place,1911,NA,Marius Jean Antonin Mercié,Male,1280 Eutaw Place,Baltimore,MD,21217,NA,Historic Monuments (CHAP),NA,NA,NA,NA,Madison Park,Upton/Druid Heights,Upton/Druid Heights,District 11,District 40,NA,Outdoor,Francis Scott Key,Eutaw Place,Mayor & City Council,NA,NA,Monument,-76.62604325,39.303888199999996
2008.007.BMP.DaHos,NA,Our Roots Our Garden,NA,Mural,mural,in place,2008,NA,Danamarie Hosler,Female,525 E. 21st Street,Baltimore,MD,21218,NA,Baltimore Mural Program (BOPA),NA,NA,NA,NA,East Baltimore Midway,Midway/Coldstream,Midway/Coldstream,District 12,District 43A,NA,NA,NA,NA,NA,NA,NA,Mural,-76.60868600000002,39.313392
1964.001.XXX.JoBro,node/9169529715,Runner,"Athletic Center, Johns Hopkins University",Sculpture,bronze,in place,1964,NA,Joe Brown,Male,3400 N. Charles Street,Baltimore,MD,21218,7 x 6 x 6 ft.,NA,NA,NA,NA,NA,Johns Hopkins Homewood,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 14,District 43A,Exterior entrance,Outdoor,NA,"""Johns Hopkins University, Homewood Campus""",Private Property,NA,NA,Sculpture,-76.6227577,39.33258899999999
1958.002.CHAP.IgNog,node/8761464295,Untitled,The Wurtzburger Sculpture Garden,Sculpture,stainless steel,in place,1958,NA,Isamu Noguchi,Male,10 Art Museum Drive,Baltimore,MD,21218,153 x 30 1/4 x 62 in. (388.6 x 76.8 x 157.5 cm.),NA,NA,NA,NA,NA,Johns Hopkins Homewood,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 14,District 40,NA,Outdoor,NA,Baltimore Museum of Art,Mayor & City Council,NA,NA,Sculpture,-76.62010649999999,39.32590879999999
1920.001.CHAP.Unknown,NA,Flagstaff,NA,Monument,NA,in place,1920,NA,Unknown,NA,347 S. Gilmor Street,Baltimore,MD,21223,NA,Historic Monuments (CHAP),NA,NA,NA,NA,New Southwest/Mount Clare,Southwest Baltimore,Southwest Baltimore,District 9,District 40,NA,NA,NA,NA,NA,NA,NA,Monument,-76.642221,39.28337899999999
2002.004.BMP.BrHon,NA,silence,Bryn Mawr School,Sculpture,"steel, slate, copper, glass",in place,2002,NA,Brece Honeycutt,Female,109 W. Melrose Avenue,Baltimore,MD,21210,5’ x 31’ x 31’,NA,NA,NA,NA,NA,North Roland Park/Poplar Hill,Greater Roland Park/Poplar Hill,Greater Roland Park/Poplar Hill,District 5,District 41,Located in courtyard by Margaret Hamilton Bldg. and dinning hall,Outdoor,NA,NA,Private Property,NA,NA,Sculpture,-76.6301148,39.3648345
1998.006.BMP.ChLaw,NA,Sowing Seeds of Sandtown,NA,Mural,mural,demolished,1998,NA,Charles Lawrence,Male,1139 N. Gilmor Street,Baltimore,MD,21217,NA,NA,NA,NA,NA,NA,Sandtown-Winchester,Sandtown-Winchester/Harlem Park,Sandtown-Winchester/Harlem Park,District 9,District 40,Side of building with community park,Outdoor,NA,NA,NA,NA,NA,Mural,-76.642913,39.30218800000001
1978.004.XXX.PaDan,node/7834030754,Harpie,Liberty Recreation Center,Sculpture,"steel, corten steel",in place,1978,NA,Paul Daniel,Male,3901 Maine Avenue,Baltimore,MD,21207,15 x 9 x 11 ft.,NA,NA,NA,NA,NA,Central Forest Park,Dorchester/Ashburton,Dorchester/Ashburton,District 6,District 41,Above entrance,Outdoor,NA,Liberty Recreation Center,Mayor & City Council,Baltimore City Department of Recreation & Parks,NA,Sculpture,-76.684272000000007,39.326384999999995
1906.001.CHAP.JoEva,NA,Mercury and Commerce,B & O Central Building,Sculpture,granite,in place,1906,NA,John Evans,Male,2 N. Charles Street,Baltimore,MD,21201,NA,NA,NA,NA,NA,NA,Downtown,Downtown/Seton Hill,Downtown/Seton Hill,District 11,District 46,Over main entrance,NA,NA,NA,Private Property,NA,NA,Sculpture,-76.61535295999998,39.28981729
1946.001.CHAP.LaFra,node/5243591061,Lee-Jackson Monument,Wyman Park Dell,"Monument, Sculpture",bronze,removed,1946,NA,Laura Gardin Fraser,Female,Art Museum Drive and Wyman Park Drive,Baltimore,MD,21218,150 x 76 x 146 in.,NA,NA,NA,NA,NA,Johns Hopkins Homewood,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 14,District 40,NA,Outdoor,"Robert E. Lee, Stonewall Jackson",Wyman Park Dell,Mayor & City Council,Baltimore City Department of Recreation & Parks,NA,Monument,-76.61984499999998,39.32429599999999
1903.005.CHAP.FWRuc,NA,Confederate Soldiers and Sailors Monument,NA,"Monument, Sculpture",bronze,"removed, in storage",1903,NA,Frederic Wellington Ruckstuhl,Male,1403 W. Mount Royal Avenue,Baltimore,MD,21217,150 x 60 x 63 in.,Historic Monuments (CHAP),NA,NA,NA,NA,Bolton Hill,Midtown,Midtown,District 11,District 40,Median strip,Outdoor,NA,NA,NA,NA,NA,Monument,-76.6224633,39.308787579999986
1977.037.XXX.GrMor,NA,Series of Points on a Line,City Hospitals,Mural,mural,NA,1977,NA,Greg Moring,Male,4940 Eastern Avenue,Baltimore,MD,NA,H. 17 x W. 17 ft.,International Sculpture Symposium,NA,NA,NA,NA,Hopkins Bayview,Orangeville/East Highlandtown,Greektown/Bayview,District 1,District 46,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.5492959,39.29016219999999
1991.003.XXX.JeSch,NA,Untitled [Horse in pedestal],Liberty Plaza off Charles Center,Sculpture,bronze,removed,1991,NA,Jeffery Schiff,Male,Cathedral Street and W. Lexington Street,Baltimore,MD,21201,84 x 24 x 90 in.,NA,NA,NA,NA,NA,Downtown,Downtown/Seton Hill,Downtown/Seton Hill,District 11,District 40,"Plaza entrance by BG&E building, closer to Liberty and Lexington St.",Outdoor,NA,NA,NA,NA,NA,Sculpture,-76.616946,39.291662
1989.009.XXX.PaSpe,way/1088269777,Vietnam Veteran's Memorial Monument,Middle Branch Park,"Monument, Sculpture",NA,in place,1989,NA,Paul D. Speiregen,Male,2825 S. Hanover Street,Baltimore,MD,21225,Light spires: approx. H. 20 ft.; Flag poles: approx. H. 45 ft.,NA,NA,NA,NA,NA,Middle Branch/Reedbird Parks,Cherry Hill,Cherry Hill,District 10,District 46,Near Patapsco river,Outdoor,NA,Middle Branch Park,Mayor & City Council,Baltimore City Department of Recreation & Parks,NA,Monument,-76.616679,39.25477999999998
1885.006.CHAP.PaDuB,node/4590260244,Military Courage,Mount Vernon Place (West Park),Sculpture,bronze,in place,1885,NA,Paul DuBois,Male,699 Washington Place,Baltimore,MD,21201,70 x 24 x 32 in,Historic Monuments (CHAP),NA,NA,NA,NA,Mount Vernon,Midtown,Midtown,District 11,District 46,West of Monument,Outdoor,NA,Mount Vernon Place,Mayor & City Council,Baltimore City Department of Recreation & Parks,NA,Sculpture,-76.6167937,39.2974859
2008.006.BMP.DaHos,NA,"Past, Present & Future",NA,Mural,mural,in place,2008,NA,Danamarie Hosler,Female,601 E. 33rd Street,Baltimore,MD,21218,NA,Baltimore Mural Program (BOPA),NA,NA,NA,NA,Better Waverly,The Waverlies,The Waverlies,District 14,District 43A,NA,Outdoor,NA,NA,NA,NA,NA,Mural,-76.60785599999998,39.328251
1958.001.CHAP.BeBuf,NA,Penguin's Prayer,"Bufano Sculpture Garden, Dunning Park, Johns Hopkins University",Sculpture,cast granite,in place,1958,NA,Beniamino Bufano,Male,NA,Baltimore,MD,21218,101 x 34 x 34 in.,NA,NA,NA,NA,NA,Johns Hopkins Homewood,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 14,District 43A,NA,Outdoor,NA,"""Johns Hopkins University, Homewood Campus""",Private Property,NA,NA,Sculpture,-76.62065299999999,39.331509
1902.002.CHAP,NA,The Discus Thrower [possible duplicate w/ incorrect location],Baltimore Museum of Art,Sculpture,NA,NA,1902,NA,Myron of Eleuthera,NA,10 Art Museum Drive,Baltimore,MD,21218,6 x 6 x 6 ft.,NA,NA,NA,NA,NA,Johns Hopkins Homewood,Greater Charles Village/Barclay,Greater Charles Village/Barclay,District 14,District 40,NA,NA,NA,Baltimore Museum of Art,Mayor & City Council,NA,NA,Sculpture,-76.62107079999998,39.3262363
