id,osm_id,title,location,type,medium,status,year,creation_dedication_date,primary_artist,primary_artist_gender,street_address,city,state,zipcode,dimensions,program,funding,artist_assistants,architect,fabricator,neighborhood,csa,csa_2020,council_district,legislative_district,location_desc,indoor_outdoor_access,subject_person,related_property,property_ownership,agency_or_insitution,wikipedia_url,work_type,lon,lat
NA,node/11100460579,What Goes Around Comes Around,Towson University,Sculpture,welded steel,in place,1989,NA,Greg Moring,Male,8000 York Road,Towson,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor,NA,NA,State of Maryland,Towson University,NA,Sculpture,-76.61223060331416,39.39032554841858
NA,node/11100460580,Three Corners,Towson University,Sculpture,welded steel,in place,1980,NA,Brian Wall,Male,8000 York Road,Towson,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor,NA,NA,State of Maryland,Towson University,NA,Sculpture,-76.61216008414218,39.39052853755501
NA,node/11091790455,TOWSON,Towson University,Sculpture,powder coated steel,in place,2014,NA,"David Meyer, Nicholas Edwards",NA,8000 York Road,Towson,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor,NA,NA,State of Maryland,Towson University,NA,Sculpture,-76.60928978522749,39.394509776624375
NA,node/11100460572,Octavia I,Towson University,Sculpture,Cor-Ten steel,in place,NA,NA,John Dunn Ferguson,NA,8000 York Road,Towson,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor,NA,NA,State of Maryland,Towson University,NA,Sculpture,-76.61226625448147,39.390946558769244
NA,node/11100460573,Art Signs (American Sign Language),Towson University,Sculpture,steel,in place,2014,NA,"David Perry, Nicholas Edwards, Harrison Doyle, Sarah Benas",NA,8000 York Road,Towson,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outdoor,NA,NA,State of Maryland,Towson University,NA,Sculpture,-76.61267749718992,39.391030076946365
1979.004.XXXLaHur,NA,The Spirit of Constant Care,Constant Care Community Health Center,Painting,"oil on canvas, framed",NA,1979,NA,Laurence Hurst,Male,1501 Division Street,Baltimore,MD,21217,NA,NA,NA,NA,NA,NA,Upton,Upton/Druid Heights,Upton/Druid Heights,District 11,District 40,Main lobby,Indoor,NA,NA,NA,NA,NA,Other,-76.63172,39.30317699999999
2005.002.BMP.StEdm,NA,[Howard Street Bridge painting],Howard St. Bridge over Jones Falls Expressway,Structure,bridge repainting,in place,2005,NA,Stan Edmister,Male,Howard Street Bridge,Baltimore,MD,21218,NA,NA,NA,NA,NA,NA,Charles North,Midtown,Midtown,District 12,District 40,Howard St. Bridge over JFX,Outdoor,NA,NA,Mayor & City Council,NA,NA,Other,-76.620066,39.309275
1981.009.XXX.GrMor,NA,Westside,Edmondson-Westside Sr. HS,Sculpture,aluminum,in place,1981,NA,Greg Moring,Male,4501 Edmondson Avenue,Baltimore,MD,21229,17 x 50 x 2 ft.,NA,NA,NA,NA,NA,Uplands,Allendale/Irvington/S. Hilton,Allendale/Irvington/S. Hilton,District 8,District 41,Western entrance,Outdoor,NA,Edmondson-Westside Sr. HS,Mayor & City Council,Baltimore City Public Schools,NA,Sculpture,-76.692053,39.293073
1984.014.XXX.GrMor,NA,Home Run 1984,NA,Sculpture,NA,NA,1984,NA,Greg Moring,Male,900 E. 33rd Street,Baltimore,MD,21218,NA,NA,NA,NA,NA,NA,Ednor Gardens-Lakeside,The Waverlies,The Waverlies,District 14,District 43A,Opposite the stadium,Outdoor,NA,NA,NA,NA,NA,Sculpture,-76.601482,39.329129
1979.008.PfA.HaSch,NA,Untitled,Hampden ES,Relief,terra cotta,in place,1979,NA,Hans K. Schuler,Male,801 W. 37th Street,Baltimore,MD,21211,NA,Percent for Public Art (BOPA),NA,NA,NA,NA,Hampden,Medfield/Hampden/Woodberry/Remington,Hampden/Remington,District 14,District 40,North wall,NA,NA,Hampden ES,Mayor & City Council,Baltimore City Public Schools,NA,Relief,-76.629622,39.332330999999996
NA,NA,West Light,Towson University,Sculpture,"acrylic, metal",in place,1983,NA,Charles Ross,NA,8000 York Road,Towson,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indoor,NA,NA,State of Maryland,Towson University,NA,Sculpture,-76.61288503093681,39.39164457729534
