ID,Title of Artwork,Year,Street Address,Address Data,Latitude,Longitude,Location Name,Related Property,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Description,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Modified
2009.003.BMP.AuDro,Pigtown,2009,759 Washington Boulevard,,39.282933,-76.627656,,,Augustina Droze,Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21230,,Outdoor,mural,,"2009.003.BMP.AuDro(2).jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/sbaW-XrOy9I-DsDToQTznA/RKistIb7eSu6Tmu5USaiB1dmFmHfGSS8xd2483dyVtmNsJR_lBQ0e0nTrTYOm4zi/NigSzF7IZo55RhPYGLonihK67fluYHzrty8-yT4eQvM),2009.003.BMP.AuDro (2).jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/fc4IARYkSOauGLBjQqhgEw/qMxrqQJNtQNyvuR0CzjnfOmZcf6KWxeS_k4MVQ-7Ri09SYjJmV8vJk03iSJJs6-F/rRk85s3ANPiT6dznjU80_f9HzqWiMGYrhdieM0cRWSw),2009.003.BMP.AuDro.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/_C1BWfJ9LQXrFRhj22lE4Q/irP3VEPaLWlbiTWCDfFBQaMdFH21JkdhturfHj0M61mjnu3P6MIElbjx-xeuoU1y/VyFffAcoWkHSw1y2mQkcCzt44XYlr8KqmJhKMKe7H9c)",,,,,,,,,,,,10,Washington Village/Pigtown,Washington Village,1402,,,,,
,Woman With Sunglasses on Bench,2009,,Missing,,,Eisenhower Library,"""Johns Hopkins University, Homewood Campus""",George Segal,Sculpture,in place,Private Property,,Johns Hopkins University,Johns Hopkins University Public Art Program,,,,,Baltimore,MD,,,Indoor,,,,,gift from the Donna and Carroll Janis family,,,,,,,,,,,,,,,,,,12/2/2022 9:12am
2009.001.XXX.RoCar,William Donald Schaefer,2009,401 Light Street,Missing,39.28435660,-76.61222347,,,Rodney Carroll,"Monument,Sculpture",in place,,,,,,,11/1/2009,,Baltimore,MD,21202,Near Baltimore Visitor Center,Outdoor,bronze,,,,Donated by Willard Hackerman,,Male,,,checked,,,,node/2502382373,11,Downtown West,Inner Harbor/Federal Hill,8741,,,,,8/31/2019 11:22pm
2008.022.BMP.DoTys,[Unknown],2008,3242 Barclay Street,,39.328008,-76.611279,,,"""Donald Tyson-Bey, Jr.""",Mural,in place,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21218,,Outdoor,mural,,,,,,Male,,,,,,,,14,Abell,Greater Charles Vill./Barclay,7835,,,,,12/2/2022 9:23am
2008.018.BMP.ChLaw,[Unknown],2008,540 N. Lakewood Avenue,,39.297713,-76.579609,,,Charles Lawrence,Mural,,,,,Baltimore Mural Program (BOPA),"""Ernest Shaw, Jr.""",,,,Baltimore,MD,21205,,Outdoor,mural,,2008.018.BMP.ChLaw.jpg (https://v5.airtableusercontent.com/v1/11/11/1670004000000/xYFxFpxZ2KI6TAkSazZ49w/1M5KnjiGMJ8WX6M43CslhksXHp3alCsNrAt_uv6tZTBX1NaXF7XAVPhSGQkWztea/mAMsoaMaDm_P5lcnsjSr2ULk4NuZU-7uBChtPORRThU),,,,Male,,,,,,,,13,McElderry Park,Madison/East End,8530,,,,,12/2/2022 9:23am
2008.019.BMP.ChLaw,[Unknown],2008,E. 33rd Street and Greenmount Avenue,Intersection,39.328835,-76.609194,,,Charles Lawrence,Mural,,,,,Baltimore Mural Program (BOPA),"""Ernest Shaw, Jr."",""Donald Tyson-Bey, Jr.""",,,,Baltimore,MD,21218,,Outdoor,mural,,,,,,Male,,,,,,,,14,Waverly,The Waverlies,5279,,,,,12/2/2022 9:23am
2008.005.BMP.SeGoo,[Unknown],2008,212 Holliday Street,,39.293062,-76.609712,Baltimore Farmer's Market (parking lot under JFX),,Seth Goodman,Mural,in place (check),,,,,,,,,Baltimore,MD,21202,column in parking lot,Outdoor,mural,"abstract design, cellular pink and grey",,,Excellent Condition,,Male,,,checked,,,,,11,Downtown,Downtown/Seton Hill,8014,,,,,12/2/2022 9:23am
2008.012.BMP.MiOwe,[Unknown],2008,601 E. 33rd Street,,39.328135,-76.608425,Giant Foods at 33rd and Greenmount,,Michael Owen,Mural,,,,,,,,,,Baltimore,MD,21218,two murals on side of building,Outdoor,mural,"collage of various figures, foliage, and birds",,,Excellent Condition,,Male,,,checked,,,,,14,Better Waverly,The Waverlies,6164,,,,,12/2/2022 9:23am
2008.002.BMP.JoBer,[Unknown],2008,3426 Bank Street,,39.287929,-76.570749,,,Joel Bergner,Mural,,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21224,,,mural,,,,,,Male,,,,,,,,1,Highlandtown,Patterson Pk N&E,2570,,,,,12/2/2022 9:23am
2008.021.BMP.DoTys,[Unknown],2008,212 Holliday Street,,39.293062,-76.609712,"JFX Farmers Market, parking lot",,"""Donald Tyson-Bey, Jr.""",Mural,in place (check),,,,,,,,,Baltimore,MD,21202,column in parking lot,Outdoor,mural,one of many painted columns,,,Excellent Condition,,Male,,,checked,,,,,11,Downtown,Downtown/Seton Hill,4068,,,,,12/2/2022 9:23am
