ID,Title of Artwork,Year,Street Address,Address Data,Primary Artist,Type,Current Status,Property Ownership,Agency or Insitution,Stewardship Responsibility,Program ,Artist Assistants ,Architect,Creation/Dedication Date,Arts District,City,State,Zipcode,Location Name,Location Description,Related Property,Indoor/Outdoor Accessible,Medium,Description of Artwork,General Images,Subject (Person),Comments and Notes,Dimensions,Primary Artist Gender,Fabricator,Maintenance/Conservation Notes,Save Outdoor Sculpture file on record,Funding Source,Wikipedia URL,Year Accuracy,osm_id,Council District,Neighborhood,Community Statistical Area (CSA),4 digit UID,Survey,Activity,Activity Notes,Ownership Accuracy,Latitude,Longitude,Modified
, Camden Yards Memorial Wall,2003,333 W. Camden Street,,,"Memorial,Structure",in place,Maryland Stadium Authority,,,,,"""Cochran, Stephenson & Donkervoet""",5/26/2003,,Baltimore,MD,21201,Oriole Park at Camden Yards,Located at northeast corner of Lee Street and Ravens Walk,Oriole Park at Camden Yards,Outdoor,,,,,,,,,,,,,,node/1966866733,,,,2938,,,,,39.2820075,-76.6205456,5/15/2019 4:09pm
2003.005.BMP.LeFur,[Mosaic],2003,1928 Pennsylvania Avenue,,Leslie Furlong,Mural,in place,,,,Baltimore Mural Program (BOPA),Julie Stovall,,,,Baltimore,MD,21217,,,,Outdoor,mural,,"2003.005.BMP.LeFur (3).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/MG99RbHHf3qmnGh8UlMuvw/ewZXBoYAev0KjcHP9P6z2a2xQn0e0OQoYB1uE5rWbBKV-izPBiz_aJNXtRWRmOdI/RmKMHxhjWWu2r7THWS7kHIuHx5tKyTDTvxdrXU6mS3Y),2003.005.BMP.LeFur (2).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/OPsQMrtuaHl2L2ry0YO8uA/ugy-ZkEcDYthCOeIu-07KNMFEodLtxKVw_p6BkWQwhTMWflizKuiPoBjqWqBh1Kw/bVkcDusp9_9WBc5O3XW6DM574Fnua7j7lEh3M-OVCSg),2003.005.BMP.LeFur.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/xfKkTN8cVUCeAcRw4pUjrw/-pGuJr3yewee9KDI1hPgBJpd_sck6s7yrQNuoKu_WAmVjlpAtpWK11UDePn80ftz/NMTKJMxdQbOFVNBXm-DDUuZYPGaNwidlmxKaCLSZNTA)",,,,Female,,,,,,,,11,Upton,Upton/Druid Hts,8885,,,,,39.305672,-76.637501,12/4/2022 7:45pm
2003.002.BMP.EsFra,[Unknown],2003,1115 Hollins Street,,Espi  Frazier,Mural,in place,,,,,Jennifer Rattigan,,,,Baltimore,MD,21223,,Side of Black Cherry Puppet Theatre,,,mural,Six puppet like figures with buildings and sun,"2003.002.BMP.EsFra-Photo2005.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/fvUmkT2x0D1fzSw6rYoxbw/lTc0iui5ZCtqchnAxpbiPPJLyxNWzJShpuUKDIPVCrMiY7IjM0GD2pCwWpCTWbXeaXekdnHJSH8d34MjoinWmw/WD7NgrARL5ileXwV1ZCwsRWk3_Sq0_R8rjJRkmbsyi0),2003.002.BMP.EsFra-Photo2005 (5).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/BEQJnSyLuwtXXKqlXnNOYQ/26MjzpcWzxafsCwrngkI4QvoWzoCgLlGTAjF0GWbifbzkUo18jjA36JeooSE5fvvIQKLHBQvI0yS2K9bItOWgg/QXDefqE2nJPeVfdYzkt8CXDnl4tqXdPNpOKGRRsWD_g),2003.002.BMP.EsFra-Photo2005 (4).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/oXv1WhdS7fkyygcIs_vsHQ/2--yltbpRWafIZujrpWB_MPW0qH4DHLYpj416rSgr12nyuoQW_RYRZ_9_2BQPav8gRUF3qdPrE__QB4i_L2WuQ/m_3ap7BAMl0JPOibHgoHSj61drVPjgNxh8AJ98lI3D0),2003.002.BMP.EsFra-Photo2005 (3).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/9zK_WX_BGG77kIYor9agHA/XF6GOKpUtKEdRc1jn8Xtm-MYMJbDnUljOR0ysEZThsg85b0Ki-Kx6OwmLvGAsj_tVIoeWk-Td6LOdEtin8pLmg/eAJjJETa5xOrc7KENtrilOed4fqKfijYfpDh4gftD5c),2003.002.BMP.EsFra-Photo2005 (2).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/Z2cfBE6t8OEhbT3NU5vBdA/Y7LMJQRDpANrMvTe9ByZCqkdIFPz2OBW-4dwbgKHm1uo12PZVXrvphKkuuXMR1ilicMjNsz21Er9z-cwrmSPOg/vVRxevJ5njrxEEdeTu2BQeVjYAtDpZcFqbhK0A-EqaU)",,Good condition,,Female,,,,,,,,9,Hollins Market,Poppleton/The Terraces/Hollins Mkt,5108,,,,,39.287295,-76.635794,12/4/2022 7:45pm
2003.003.XXX.SpPop,[Unknown],2003,E. North Avenue and Harford Road,Intersection,Spoon Popkin,Mural,in place,,,,,Dan Van Allen,,,,Baltimore,MD,21213,,Restoration of Tom Miller Murals- Two murals on west and east side of Harford Rd. at North Ave.,,Outdoor,mural,"""Never Forget the Source"" and collage of city life",,,,,Female,,Paint peeling in several locations,,,,,,13,Four By Four,Belair-Edison,5811,,Condition assessment (2005),Paint peeling in several locations,,39.3117462430497,-76.5992755428038,12/4/2022 7:45pm
2003.001.XXX.DaBoy,Aegean Urn,2003,120 E. Lombard Street,,David Boyajian,Sculpture,in place,,,,,,,,,Baltimore,MD,21202,Brookshire Suites,Flanking Brookshire Suites entrance,,,urns,"Two urns, each with two gigantic wings","2003.001.XXX.DaBoy-Photo2005.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/KRRM4ybm_8XGQ4h8jnHlxw/X6Hbuw_h4-v3I4HwPw4t_mQbox52kFCb53_KI-ofKGzSs6Ca0GZ14zr-qXdRH1w2kmdTRdFhepy_3jcdnMyX2Q/j02981J7mI9dg3YRb69EbAo5M3MplxOEmU4s5yKsNe4),2003.001.XXX.DaBoy-Photo2005 (5).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/dHJhc_6ROZqnjFxmL0CbQw/YojyloRv4CiU6Xt62Obx__zf9TzXFwCLWvQZxLNzDdH1wAMTdsEf-qi-l9kVlbpL1lj420rFlnuQJpIANMWaTA/wxMw2gD7mR9-LzIhvf--xgiiJ0t5QX9DQbKzrm7_L1U),2003.001.XXX.DaBoy-Photo2005 (4).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/1ZftAg5xRyn8vvzI_nIqBQ/LTlkXjhpF4gX3zNSjLv9CoXjuM2nd3oyghtyKurcKOUFScF1PkbOZ_ZHZUBQPIpZZ_0OH87_D-9dU47nqLWozg/l4KCOYSplBHSoX9xD50_ymIM8jrAHm6YYacazOK0Ntc),2003.001.XXX.DaBoy-Photo2005 (3).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/VPLnytCzsiOW9kzXG0UzUg/HeCH1NQHQx2CVGxMpAe7JJPRq_tH26SrGnrB_SIi0xYvWkzFdiBoShg6G21hvzbbX77SiYoB3PbqZaoJOO1Vbg/ESejrjfaT0onwCst0xVQVHEM0hCv6tK4leyhpCmaLf8),2003.001.XXX.DaBoy-Photo2005 (2).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/ZTHtfz3CenwFMkQGQVbYQQ/v1EYT7gRW5BUIQ52rx3nAKwgzUf_zH646nNgTErbrCKv2Fe67yaYmENQF7luIzOx1nek3eY8PB_8P4IWr3UHew/DuReDcMvD75wXWudXMabomqRZM63b5ktPc7vqbuv9FY)",,Good condition,,Male,,,,,,,node/7823645379,11,Downtown,Downtown/Seton Hill,6449,,,,,39.287915,-76.612312,12/4/2022 7:45pm
,Tensile Membrane,2003,6513 Wabash Avenue,,Mark Thomas,Sculpture,in place,State of Maryland,Maryland Transit Administration,Maryland Transit Administration,Metro Station Artwork,,,,,Baltimore,MD,21215,Reisterstown Plaza Station (Metro),,,Outdoor,,,,,Replaced Vine Covered Passerelle,,Male,,,,,,,,,,,,,,,,39.3520113,-76.7077305,12/21/2021 9:53pm
2003.004.BMP.JeRat,The Gateway to Baltimore,2003,1845 S. Hanover Street,Block,Jennifer Rattigan,Mural,painted over,,,,Baltimore Mural Program (BOPA),"Jason Adriel,MICA CAP Program",,,,Baltimore,MD,21230,,Side of Glass and Mirror Company,,Outdoor,mural,Images of community life,"2003.004.BMP.JeRat-Photo2005.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/aU3og_6JtCVUwr1t3jUwvg/afk4IL-1bDlVoB9UKyQSD8T0JjKEoF-UVKiIq1wHru5gaygKQ_bpNvCNLFvLch28DyrNApO-mwpWq7rU-qefAA/SPWL-MDyI6fKxrZFlBHJqPC9fZYYREu7bDuVx7MvHVs),2003.004.BMP.JeRat-Photo2005 (5).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/4u8lLm1sbf5HudTm02qNgQ/0UTXrUNyfJsV-Awq4WtQUUO3wtZAtszhTzhTNgY1zBfjUeecujD1ZqRRhwYspgrkam0ZM2CF_VItQ50IKnC9UA/jYeH8jtHQKw81rCO48klB-Ky3ZRyJGH1KaudyvtRJYQ),2003.004.BMP.JeRat-Photo2005 (4).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/x9_4rlV7Rmn2vJGp5y2TPQ/gGJJJm1Xq_kcz6QO0lUumG6j1d7LL6A7Fuy6hTtPvXiIFXQXXRM9LOH-qRRiaP1v8ZUd4FHOG28ZTMsek1KEAQ/MkvEzwKz3UgBG7ES6Fr9xxFhQfIkrtV-hdwoa2sEAGA),2003.004.BMP.JeRat-Photo2005 (3).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/erxd8AAoicT57hnyf6naTQ/gTNFlPcGmHjZVeYcGppYo-HEBMg4FrxwtaTHxDgFKYXw-K8MKs81hO1nU0WCAbMMYi4gKft7sgeu-hSFQvF4eQ/HK9InU8SqSkAnIhBXz-EGqrYBG1HAn-5IVja2h7_RvE),2003.004.BMP.JeRat-Photo2005 (2).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/gxVFDLQlkGh0uLYTLbmQwA/lUPxtMSweHmQeGY5_12-vw73Pef9jQR0WfGmthYuY9iZJM27vofmFNaBKcvnPkXqBaJOICdTo0WP84GdV_fmgQ/sJMvcqzwCpxAyJdzR4psH98EixaiFpfn0-HLTqZbrMg),2003.004.BMP.JeRat(2).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/lKdWvBe2mAFN6h-WBY0iyw/GE1mup1KjHHVDJ7JciMPSxl9VKwcuc2CeGq0q9OxlVVlozHIkaWiMbJ9W9YpYKnm/UCdVG9CRsTlQLAhEM1Nvsfv4GmrL1dVGWKsmvnCbDsk),2003.004.BMP.JeRat.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/llNTXn9niS_tz3LrDFEN9g/i3gFFuE3ajQk5UkkZxUWGVG0AfEXexSy-PXHzzb4r4kEwtfbLCcQoEZWjPh8EYaY/M531PApnfVa3PcGXC-JtXy1hMPshddJYFqXx10PNXCE),2003.004.BMP.JeRat.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/yJe4YqWua-v-eUbkDd9hOg/hnb0YnCzz05Cd50UjajNPY4a6f6_nZNQQIJLP5ZlCwqntXYwG3NW5tGcX01vQ4YD/P4aO7Rt8wjcNBsM9zU6vofdhhVo6EtAAMY7O5SV4SV4),2003.004.BMP.JeRat (5).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/VkzRE0G7pueGw5xAljJACQ/A-CIXlKw5En9XtrlU0mnNQxFJcdxiUci-uZzE9XeJNSndd_ZHoA4kz7DBjAF189i/w2JaaF618I6c5wRdXrWLXQesxyupetUnybVkUC0pF6M),2003.004.BMP.JeRat (4).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/1KafiN23JOGTUm-WmAN5Gw/NKXkrWZOsVzh0J-yTnq5Esw6V0AxcMVydc-G1F-xtVqGNdUxsN1MGpS7aKxJwGpc/Vmxsqxh2COB8jf7OvIez_wUf76IFR4KCcIgLCevlU2A),2003.004.BMP.JeRat (3).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/mJxnGzErSktT1CPlahDfQw/9nUhWNujSXxaoRkVQX8dJ-I6VgVc69Fk3wqIovrT8AaP0DvJdsPwTloUdUxkZzah/65JKfS3m1lcPvptAhKRfQdEV5bfy5obKdNTT7r86v8Q),2003.004.BMP.JeRat (2).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/wqEsVAkxz1r61qvUe1KyzA/M1fu7LMEVoNJj7ggUHWf1lUWjYSwgcq24-apthqz22e78git6X7xhUxBobx4DISX/n6QnQBORu--qF9Gl1anlFSaM5r1vtKO6q3L4mk8f6KE)",,Good condition,,Female,,,,,,,,,,South Baltimore,4970,,,,,39.26842050183084,-76.61453768318096,12/4/2022 7:45pm
2002.006.BMP.MICA,[Unknown],2002,619 N. Duncan Street,,"MICA,HEBCAC",Mural,in place,,,,,,,,,Baltimore,MD,21205,Parking lot of North East Market,Side of builiding,Northeast Market,Outdoor,mural,Life in North East; two scenes: a jazz club and grocery/ soda fountain street scene,"2002.006.BMP.MICA-Photo2005.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/07wtaNpiCCu8zKCswGr-Tg/hqgkAq04rugQnpI7XbKSmROIGme_FTvVILSB2ayOXdtb_onyY9TrnA97HKd6aUiSTnxZsfueTMK1W3AD74jzdA/gUaY654bSi8sNTG8hbv_vRc60r5VdLVoRifuGmIjIpc),2002.006.BMP.MICA-Photo2005 (5).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/vqWfHeENN4-pxRB15veH6w/zQjyRwCDQoz08IqnBGlDMyCiivU_yCIE7nV73pnEIcFafamfS7OxRpbzPpVVVRLPsBRq3XORwpLKKI7_xTJhcA/OUP7h1DfVrlAtbTKs7VEZjsTX3DkUyXWT6LEN10wnKc),2002.006.BMP.MICA-Photo2005 (4).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/YWWk1J4lPzsa1eoLz7d_eg/WZD2tvD8n_RJ3wq_9zp3unQB8HSC_N4k4NcSEsZu9hGpjMtoqwaf6tE2LIxPi76ZQVy4RhIy38jHpdpa5YEQoA/Njth3Rq8IzkxHzBBPXRCEzMoXlSaSVv42ee7GIJIxQg),2002.006.BMP.MICA-Photo2005 (3).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/eayPzuXZNzQKfAviMGvI3w/OUYWRJeJb8dmLjjAHbD7xM6Wx3-v4nLcfBE8PX_aOKphcHzvFJOVgCcQEAqAKnyCPo4s8N9L_a1v98jSDlXkUQ/a8dLUnNR1UF0MSVA6AUaW1QUqA4cCiEWapH5rlWFZ5s),2002.006.BMP.MICA-Photo2005 (2).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/RXIhHt5LfCPJBNn0g8LJTg/iI6mB2U7RXLusFFxYPq1y-dT_SdO_Pt-1C76UcvhLZJ1mV4OXpmA24IS1CMQ76odxVp_R2HooUQbYjI9qofrOQ/fdITELYQJPqbJNiopKbykyPwuJMnSwk-2NPs6bNt_bI),2002.006.BMP.MICA(2).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/iq4oa493kT4oHHJpIzolyQ/S2bWrDnhtzJYzzb4jIEPF8SCkdRT-RZmmckrbPROyOgaBYHQizUibj-MQO1uuIlr/1E0QWVagyoHxhpQpwkRSb1DPLcHFtL0H89jkJiHWNS0),2002.006.BMP.MICA (6).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/OtIGNn2WQKo0EtCQFjHbPA/e9Uh3dzAUZIAN037H6TwGDH8e9X_f9JeLmwYDF_A2k1hBqZzqDrmDtj-zyXjvRdv/4v6QBnqmfmtK-RCn0Nm0CG0VBfU_zgokymlfjDGF5D0),2002.006.BMP.MICA (5).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/n4xwLTjDQ5r7n8fmFCZemA/xvtIUmDtVINY3AJ5xPi-TkgdTw_kEKjeKKO1uqB9rmigE3pJP2vLkVD4-mrRsAL4/pEeFPkY5GzqCggHQ5Hwap0tqBvZu8521QA2Cizn3KyM),2002.006.BMP.MICA (4).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/kS-eB2uesbsmrk_zQ2BdFA/ROqNriuALz_G17dhdQecU9j5jIq1TmY88Lgcr9MiZ8bY4Wy2jNOC40MKRwqqUzcm/Z15xZJ4CVbdAvIlG-o0htN3U8JwtWzVHlyQ34F310og),2002.006.BMP.MICA (3).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/G41RSLHV4bijelOjIEKP3A/je-doBICaJ2qYWFMwADSzRJfvtIlKBmZys3paN8HwbrVSongOIviCLne8S0_5u50/H98YbJ07re7Hx6pBpPuT5C4Y5oBJaErZ2GhBXZL1dao),2002.006.BMP.MICA (2).jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/OpssdXIzUlVoY0tBQH7FLA/r61RKIV9FdpBuZLPqYwsVKSEUVB3oU9nIk__6XD00YzLm8NwZiejpnKfqpl4oG40/vDlSDSUfCYCNZJ8XIXRcx9lLMucIood19ahUirLPuP0),2002.006.BMP.MICA.jpg (https://v5.airtableusercontent.com/v1/13/13/1670227200000/CJL9SsjueDZovjJGM5iPTg/L_0fI69Bs2b_CYEEB2xMHoZM6EJ7hhYucC167y_nygfanSpufsNGFuru345ReIUm/TloxLjvLjAlS4smrjKaaK2rSQsx_Lid0myKCpQL3jBQ)",,Excellent condition,,,,,,,,,,13,CARE,Madison/East End,5673,,,,,39.297729,-76.586914,12/4/2022 7:45pm
2002.001.XXX.JaSch,[Unknown],2002,Monroe Street and Lauretta Avenue,Intersection,Jay Wolf Schlossberg-Cohen,Mural,in place,,,,,Community youth,,,,Baltimore,MD,21223,,Side of building with park,,Outdoor,mural,Calls for peace and non-violence in community,"2002.001.XXX.JaSch-Photo2005.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/PDXB20w3pW0bbMcDACdkRg/0BRxDt3Oji4Kqt2slht0DaksnLAwOC4DXft6sYm4JelAfL4Ow3o9b66fw9ATw_576S1IV3iDaVareSgiUo61-w/Rw36c1GyXxdrobnQLnQXbHmVCdwktvGo1-Uu8DrkqMk),2002.001.XXX.JaSch-Photo2005 (11).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/7ZwhmgOX8ECdCxaNqXgYHw/Mq_aV194_77mgxx4PkujcCwdo2h5xkRDQnP8Jggh2wsTkHasmWTQ2sCtu526ANag-mMx3rzQvzTr8AcmlZb0Mg/XBUmqFvAasIW2hvOZR9Pj0xFVhEHggLZz6GmJ0QlnXA),2002.001.XXX.JaSch-Photo2005 (10).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/ZkcF854RZJe8c5cHqZbGFQ/D0zhyec7cRW1v8TdO50QdbYDJOOQRo9QUZmnGuloOwM1KuTaSCuBONNPOUY3RLYR3jHd1yYq8JHfxoeCW8SjIg/PSeV8U9Ph5qVSusaREqWNr6iRI3kvAMUzLg8lCcroQk),2002.001.XXX.JaSch-Photo2005 (9).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/VBhFvxq78TAuAg3TKlR4xg/fcP3Dr_JqEJ_UWhkSEA4ASgZJo5Wzc6itWufZbXLFEiwQhlszZ208JCm2I8Guvv3laQHQVDi8JVbJvhCGXBv2w/LsCnuq2an75XLe1I2u-yFvH4_v_5h1Z6CWpcjL64Tkg),2002.001.XXX.JaSch-Photo2005 (8).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/4aXnzAaDQF3KZpNIwvQ1uw/D4UeQEPxsp_476sjZD-upkzntRek9BiM4Cz1ceem2hO50wlHdGhdH1L5LFxDb6f7CjkMlciZl4P8AEm_8LwG9A/9tnLvUc_Zff9VBHykJxl9vMgysCZPm8uatLfttNywGk),2002.001.XXX.JaSch-Photo2005 (7).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/FQYgvbh62FD3BcrEMaFMmA/0OS0U-y2aS2SaeqOYsE4VvlU0P_vpbwTPfo_dy5DP3eUnsWDFgTEvsmHHth4hjrkSbG04F8CyoaopfXFnLkZyA/3lpAUTsCQKZYO1RwQDwxcFf5vn1i2qzXOfXLwcjLuBA),2002.001.XXX.JaSch-Photo2005 (6).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/ieZ-Y7BaX_VfonuNJcHQ5w/JwzlnvC5xVxtgo3NpepJav6EaLkTlukKFBrwCcCXvgZvSckoxlYo1nXEu5nPx66Tjd-lm8v5cd5hGFPW1ka2-Q/-Y0pXpYulZ3FHS11WZEBwWUyAhGYFXsFyEcWRXNUPs8),2002.001.XXX.JaSch-Photo2005 (5).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/mtRHnfOsTnTqIUVYe_xi5A/g5CX0JVbJonp8gwgZZ_xSyHAYloppPvF0QOT5dU7ENyjQHjZylUQsZCoROlvZTWduc-VsNB8TyCMXcohpEA1iA/dm-iHa1KT5XKOxkZ4rfwHwRXhAQ0D2Klup45tdqnC8o),2002.001.XXX.JaSch-Photo2005 (4).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/mhVgEB1wAUVRrsMtX-FL_g/nFSqeot32F2n4vWr2HVLgOBqLJJqcXfmGZHQclnuVTHf1ec29tFO-APrZXfrysyXahhTckbQPifFY4hg47VELw/i1yj9KjZWVBwHrMwJJS-lZwLU3BnyESMu9L4fM8KzOg),2002.001.XXX.JaSch-Photo2005 (3).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/7DWFK-Qqc1lyC7LCx4MswQ/vNDgYY3KJDg8S8XGPIEM_kiNueWA5uYlLQXuJeOIRr82nKcoytspgw2LXleZHtPbd2t8rk2H8I5qisMiCdhd_w/ZhLbf6fJR6EX1y3YLqT_OUDuoXhUMlvhPBizt3G0ocs),2002.001.XXX.JaSch-Photo2005 (2).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/zeehIom5MVZQY77lxiW_lA/lckKmQbvj6pGMsUYYpHhQ2iKUzImK0CmEuPqj94FxLFfcqcZU1y1Ug5K_A8M5ctYNhTXd9APPRINS_32KX9Kyw/rlAaHWRYFfa6bIWFo_ohq9gcMAQTPyMMgRz7Dq_K2zI)",,Excellent condition; mural enclosed by a fence in a park area; houses in surrounding neighborhood are mostly abandoned,,Male,,outside of park has overgrown grass and bushes and trash,,,,,,9,Harlem Park,Sandtown-Winchester/Harlem Pk,7144,,Condition assessment (2005),outside of park has overgrown grass and bushes and trash,,39.294610,-76.646676,12/4/2022 7:45pm
2002.007.BMP.FeThu,[Unknown],2002,East side of President Street at Fayette Street,Intersection,Ferebee Streett-Thulman,Mural,in place – unconfirmed,,,,Baltimore Mural Program (BOPA),,,,,Baltimore,MD,21202,,,,,mural,,,,,,Female,,,,,,,,11,Downtown,Downtown/Seton Hill,3360,,,,,39.29066266,-76.60654011,12/4/2022 7:45pm
2002.003.BMP.SaHol,A Throne for the Eulipions,2002,N. Howard Street at W. Centre Street and W. Madison Street,Intersection,Sam Christian Holmes,Structure,in place,,,,,,,,,Baltimore,MD,21201,East side of Howard St. at Centre and Madison Sts.,East side of Howard St. at Centre and Madison Sts.,,Outdoor,bus shelters,Bus shelters with metalwork,"2002.003.BMP.SaHol-Photo2005.JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/vL-hPaOUo0Ov80eRtEXzRQ/WUB_e1lApKbji_RdgSnUW_QrnWh6BxRvN-dD4AJ5mPjDbRe180FyQGPz3zpv5VDH-AzltDvJDTzfzQv9H0vx0g/6Z8sZKutcZUQ3QIJz2w6dnhsE58S9gm2B9rdyh6h2hw),2002.003.BMP.SaHol-Photo2005 (10).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/trk1Aof8nfPoI0GpGqAmPw/1IvEf9hml2DCvEACKjjn4OXpbxJWuxPFNhV-JZ8J2Rnwe34E26q2xlLTVbNeOsESsW3eRwZUliG4MJEIYxmqOQ/e4Jqw0EX-AfB-W2y16fKzoZuFJlf9X6zoMAkNyEOs_M),2002.003.BMP.SaHol-Photo2005 (9).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/qb9qorSOSOGstcqZFURoyQ/rZk7LGEMRBQPaDrtFY05oD-6saR6bKeqzyYcYzSzlSwCE7oh2_w07TBF6xUJ892yWvNFjr3byLNtpAyJwh_1_Q/US67J8YOfiD0Y8Ej-wbTX0bQ6ob4_VNfWcx_pquZ2Zo),2002.003.BMP.SaHol-Photo2005 (8).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/52gK0x7_goHLod5Yb9pisQ/SCMdvzqIG8GxSGG5dgdccGpeSu1rDNd4HHUHXG2auYsWi-pmVaWVie8px9tafbHDi4Aum0Vr21rwNBB52rjCOA/73IwmZBt7UAY0_qOGgkEAYLQzfUEVywe7y7vqnK9Y6w),2002.003.BMP.SaHol-Photo2005 (7).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/HIHb_IRQRvIUdHTtjDW_KA/Z_QKz7i7oN1PErosgXtOdmTd_vhB5b_0rUPiuY8IHteRcnHV6jFNByq9zlSRRIaKei3Sq_rAXGDQtDSy7Jwj3w/UX1-yA-AGuFWXLfxC73RoWeHuGclv7QQtOO9vcmkagM),2002.003.BMP.SaHol-Photo2005 (6).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/PF1u7Q5haecUEXCz25rUrw/p-HLy5uGu8PjELsL6yoUk9_YZfAdBJAXssNUZ-zfoYxUmN63bAyy0zk7_V53K3QvG0o52pOEx2qdMtPRpxpuwQ/wkgtfkHWS0HcJrFQ0mMO6x2NmLP8hnjiCbZpjxKGq9g),2002.003.BMP.SaHol-Photo2005 (5).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/XUTS2Jp6IZ9cbhjYssCPhA/vmOw9tJUsBewwpqbI62pA8QqTY_zX_Bu9wW09fs-o_xqyXCvfZGoTsuc30_JBqtXQmiQaXUqCjeZuO1S5Q7Udw/Ers98bQRmEM85NaV-9doLR2LrfCzrkgBvJsBBAG6JO8),2002.003.BMP.SaHol-Photo2005 (4).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/0cN7vWH08Nv3lfVSnjLCDw/uM720FVYHTHCeg50xXP9v3aazTbcDfJvPTVkEsL9OMgiJV4OQgVzeQEiUS1IWjdbZ76MNIOooLluW-fgo_JkQw/VtEX6Rn8cKoF5itIszUBcJt53wEzPoX_q-DIFEF5z7Q),2002.003.BMP.SaHol-Photo2005 (3).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/xo5_jh3jIspqJJnK_8g3Mw/T8ASatYfOZovtQC6Wv9l03TdUGt8gGJxxw_KlLDLAF2bFn0WDcBJ9MPeZjNq4OOPqjzOq6Zn4sYr5jbs5t5uAg/m8RN_qx9QEoQodQyxu0zDY0UxJXM-tKYwLpwjKslWQI),2002.003.BMP.SaHol-Photo2005 (2).JPG (https://v5.airtableusercontent.com/v1/13/13/1670227200000/8GcUCvUoqvoSo76Sg3cG9g/lQZ8-yXbrErqZRtzAv6otusfVHU3lBm4hDqE_isevjXZ2EcEpjkDYcXxxAlroeIEwlUhiJgrB-n_JvFTjxMVAA/LiEm-MOER0WEfbKgD-ZG_YO7RS-efWhGsbE8ORyGThk)",,,,Male,,Piece broken off of shelter artwork at Howard/ Centre; graffiti on seats and rust affecting both stations,,,,,way/336380172,11,Seton Hill,Downtown/Seton Hill,1258,,Condition assessment (2005),Piece broken off of shelter artwork at Howard/ Centre; graffiti on seats and rust affecting both stations,,39.29593451485474,-76.61975249505855,12/4/2022 7:45pm
